Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Ivan De Jesus,Paw,15,5,9,0,0,0,0,1,0,2,2,0.6,0.647,0.6,1.247
Matt Spring,Paw,4,0,2,0,0,0,0,1,0,0,1,0.5,0.5,0.5,1.0
Carl Crawford,Paw,6,1,2,0,0,0,0,1,0,1,1,0.333,0.429,0.333,0.762
Kevin Youkilis,Paw,6,0,2,0,0,0,0,0,1,1,2,0.333,0.429,0.333,0.762
Ryan Dent,Paw,6,2,2,0,0,0,0,0,0,1,2,0.333,0.429,0.333,0.762
Cody Ross,Paw,4,1,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65
Will Middlebrooks,Paw,48,9,16,2,1,3,3,3,1,4,9,0.333,0.385,0.604,0.989
Danny Valencia,Paw,29,1,9,2,0,0,0,0,2,2,7,0.31,0.375,0.379,0.754
Daniel Nava,Paw,66,12,17,3,0,3,3,1,1,11,12,0.258,0.372,0.439,0.811
Ryan Lavarnway,Paw,174,28,52,11,0,5,5,0,0,17,38,0.299,0.368,0.448,0.816
Che-Hsuan Lin,Paw,213,27,59,4,5,1,1,12,4,26,30,0.277,0.364,0.357,0.72
Andy LaRoche,Paw,88,13,23,8,0,3,3,1,1,11,11,0.261,0.356,0.455,0.811
Ryan Kalish,Paw,61,9,17,4,0,2,2,4,2,7,16,0.279,0.353,0.443,0.796
Alex Hassan,Paw,164,15,37,6,0,2,2,1,1,25,38,0.226,0.345,0.299,0.644
Jonathan Hee,Paw,101,6,29,6,0,1,1,2,3,6,21,0.287,0.339,0.376,0.716
Mauro Gomez,Paw,194,35,55,15,1,11,11,0,0,16,44,0.284,0.338,0.541,0.879
Nate Spears,Paw,190,30,46,8,1,7,7,3,0,27,57,0.242,0.336,0.405,0.742
Dan Butler,Paw,34,4,8,3,0,2,2,0,0,5,10,0.235,0.333,0.5,0.833
Pedro Ciriaco,Paw,182,28,55,10,1,4,4,8,6,4,35,0.302,0.324,0.434,0.759
Josh Kroeger,Paw,120,20,30,13,0,5,5,1,4,13,19,0.25,0.323,0.483,0.807
J.C. Linares,Paw,96,12,28,4,0,6,6,0,0,3,16,0.292,0.32,0.521,0.841
Jason Repko,Paw,103,17,23,2,1,4,4,2,2,11,26,0.223,0.316,0.379,0.695
Jeremy Hazelbaker,Paw,15,1,4,1,0,0,0,3,0,0,5,0.267,0.313,0.333,0.646
Lars Anderson,Paw,182,29,38,10,1,6,6,1,0,27,52,0.209,0.311,0.374,0.685
Darnell McDonald,Paw,12,2,3,3,0,0,0,0,0,0,5,0.25,0.308,0.5,0.808
