Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,1.414M,0.00K
VENANGO,PERKINS CO.,NE,03/28/2007,15:55,MST-7,Hail,1.75 in.,0,0,5.00K,0.00K
VENANGO,PERKINS CO.,NE,03/28/2007,16:05,MST-7,Hail,0.88 in.,0,0,0.00K,0.00K
BINGHAM,SHERIDAN CO.,NE,03/28/2007,16:10,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
CHAPPELL,DEUEL CO.,NE,03/28/2007,16:15,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
OSHKOSH,GARDEN CO.,NE,03/28/2007,16:38,MST-7,Hail,0.88 in.,0,0,0.00K,0.00K
OSHKOSH,GARDEN CO.,NE,03/28/2007,16:40,MST-7,Hail,1.75 in.,0,0,5.00K,0.00K
BIG SPGS,DEUEL CO.,NE,03/28/2007,16:45,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
RUSHVILLE,SHERIDAN CO.,NE,03/28/2007,16:48,MST-7,Hail,0.88 in.,0,0,0.00K,0.00K
BIG SPGS,DEUEL CO.,NE,03/28/2007,17:00,MST-7,Hail,1.00 in.,0,0,0.00K,0.00K
CHAMPION,CHASE CO.,NE,03/28/2007,17:07,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
ELLSWORTH,SHERIDAN CO.,NE,03/28/2007,17:17,MST-7,Hail,0.88 in.,0,0,0.00K,0.00K
LISCO,GARDEN CO.,NE,03/28/2007,17:18,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
CHAMPION,CHASE CO.,NE,03/28/2007,17:32,MST-7,Hail,1.75 in.,0,0,3.00K,0.00K
ARTHUR,ARTHUR CO.,NE,03/28/2007,18:05,MST-7,Tornado,EF1,0,0,0.00K,0.00K
IMPERIAL,CHASE CO.,NE,03/28/2007,18:05,MST-7,Tornado,EF0,0,0,0.00K,0.00K
LAMAR,CHASE CO.,NE,03/28/2007,18:11,MST-7,Tornado,EF1,0,0,5.00K,0.00K
BRANDON,PERKINS CO.,NE,03/28/2007,18:12,MST-7,Tornado,EF1,0,0,10.00K,0.00K
BRANDON,PERKINS CO.,NE,03/28/2007,18:12,MST-7,Tornado,EF0,0,0,0.00K,0.00K
MERRIMAN,CHERRY CO.,NE,03/28/2007,18:12,CST-6,Tornado,EF0,0,0,0.25K,0.00K
BRANDON,PERKINS CO.,NE,03/28/2007,18:20,MST-7,Tornado,EF1,0,0,15.00K,0.00K
GRANT,PERKINS CO.,NE,03/28/2007,18:20,MST-7,Tornado,EF2,0,0,1.200M,0.00K
ASHBY,GRANT CO.,NE,03/28/2007,18:46,MST-7,Tornado,EF1,0,0,0.50K,0.00K
OGALLALA ARPT,KEITH CO.,NE,03/28/2007,19:00,MST-7,Tornado,EF0,0,0,0.00K,0.00K
WAUNETA,CHASE CO.,NE,03/28/2007,19:00,MST-7,Thunderstorm Wind,70 kts. EG,0,0,30.00K,0.00K
OGALLALA,KEITH CO.,NE,03/28/2007,19:11,MST-7,Tornado,EF1,0,0,100.00K,0.00K
OGALLALA,KEITH CO.,NE,03/28/2007,19:20,MST-7,Tornado,EF0,0,0,5.00K,0.00K
LAKE MC CONAGHY,KEITH CO.,NE,03/28/2007,19:35,MST-7,Thunderstorm Wind,78 kts. EG,0,0,5.00K,0.00K
PAXTON,KEITH CO.,NE,03/28/2007,19:35,MST-7,Hail,0.75 in.,0,0,0.00K,0.00K
WAUNETA,CHASE CO.,NE,03/28/2007,20:00,MST-7,Thunderstorm Wind,61 kts. EG,0,0,30.00K,0.00K
MERRIMAN,CHERRY CO.,NE,03/28/2007,20:40,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
HAMLET,HAYES CO.,NE,03/28/2007,21:00,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
(ANW)AINSWORTH MUNI,BROWN CO.,NE,03/29/2007,00:10,CST-6,Thunderstorm Wind,60 kts. MG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,1.414M,0.00K
