3FGM,3FGA,FTA,FGA
0.2,0.2,2.2,8.2
0.0,0.0,2.0,7.0
0.0,0.1,2.1,8.1
0.0,0.0,3.8,5.8
0.0,0.8,3.2,8.0
0.0,0.0,2.3,5.7
0.0,0.0,0.2,4.5
0.0,0.0,3.8,7.2
0.0,0.0,2.8,6.6
0.0,0.2,3.0,8.1
0.0,0.0,1.7,5.7
0.0,1.0,3.3,9.0
0.1,0.1,3.3,7.8
0.0,0.1,2.2,6.6
0.1,0.1,3.3,7.8
0.0,0.0,0.3,5.0
0.0,0.0,2.0,4.3
0.0,0.2,3.3,7.0
0.0,0.2,1.2,4.8
0.0,0.0,0.0,3.5
0.0,0.2,2.5,7.0
0.0,0.0,4.0,10.0
-,-,-,-
0.1,0.2,2.2,5.8
0.0,0.1,1.9,5.7
0.0,0.1,2.1,5.9
0.0,0.0,2.0,7.0
0.0,0.1,2.3,6.4
0.0,0.0,3.9,7.7
0.0,0.0,2.5,11.2
0.0,0.1,2.8,7.3
0.0,0.0,3.2,9.0
0.0,0.2,3.5,9.5
0.0,0.2,3.0,8.3
0.0,0.1,2.6,7.1
