No.,Name,Yr,Pos,gp,gs,mpg,off/g,def/g,reb/g,pf/g,dq/g,ast/g,to/g,a/to,stl/g,blk/g
31.0,Ryen Henry,Jr,F,3,-,2.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,-,0.0,0.3
5.0,Melanie Royster,Fr,F,17,5,8.1,0.7,1.2,1.9,0.4,0.0,0.1,0.4,0.1,0.5,0.6
11.0,Robyn Hobson,Sr,G,29,6,12.2,0.5,1.2,1.7,0.7,0.0,0.6,0.9,0.6,0.2,0.0
14.0,Daphne Adebayo,Sr,F,27,10,15.5,1.0,1.7,2.7,1.3,0.0,0.1,0.5,0.2,0.6,0.3
1.0,Kaneisha Atwater,Fr,G,30,12,18.6,0.7,1.9,2.5,1.3,0.0,2.3,2.7,0.9,1.3,0.0
13.0,Janniina Koivunen,Fr,F,23,1,19.3,1.8,2.5,4.3,1.3,0.0,0.6,0.8,0.8,0.3,0.2
3.0,Carleeda Green,Sr,G,30,24,29.8,0.2,1.8,2.0,1.4,0.0,4.2,3.3,1.3,1.4,0.1
30.0,Shekinah Henry,Jr,F,23,16,13.6,2.5,2.5,5.0,1.4,0.0,0.2,1.0,0.2,0.5,0.2
23.0,Jessica Pellechio,Fr,G,26,22,30.8,0.5,2.2,2.7,1.5,0.0,1.7,2.1,0.8,2.2,0.2
20.0,Adaeze Alaeze,Fr,G,30,14,16.0,0.8,1.5,2.3,1.6,0.0,1.1,2.1,0.5,1.1,0.6
22.0,Zakia Williams,Jr,G,30,13,19.4,1.6,2.0,3.6,1.8,0.0,1.5,1.9,0.8,1.3,0.0
24.0,Robyn Parks,Jr,F,30,27,33.7,3.0,4.9,7.9,2.0,0.0,1.1,2.8,0.4,2.7,0.4
 ,Totals, , ,30,30,200.0,14.2,23.4,37.5,13.7,-,13.0,17.9,0.7,11.3,2.2
 ,Opponent, , ,30,30,200.0,13.4,24.5,37.9,15.1,-,15.4,18.0,0.9,9.0,3.5
