oppTAv,GS,oppRPA+,SLG
0.262,24,102,0.49
0.26,0,100,0.337
0.256,23,97,0.419
0.26,0,100,0.426
0.258,5,98,0.561
0.261,2,101,0.467
0.26,0,100,0.341
0.269,0,108,0.852
0.26,10,100,0.448
0.255,31,96,0.363
0.266,0,105,0.342
0.259,25,99,0.416
0.259,0,99,0.372
0.26,20,100,0.527
0.234,1,78,0.647
0.249,0,91,0.52
0.265,0,105,0.404
0.237,0,80,0.5
0.267,18,106,0.499
0.235,0,78,0.0
0.258,13,98,0.446
0.255,30,95,0.411
0.266,0,105,1.087
0.251,4,92,0.526
0.262,0,101,0.479
0.262,0,102,0.406
0.269,0,108,0.294
0.259,6,99,0.361
0.267,0,106,0.283
0.267,0,106,0.222
0.248,1,89,0.548
0.265,0,104,0.333
0.246,0,88,0.643
0.262,11,102,0.429
0.26,0,100,0.331
0.256,5,97,0.469
0.256,23,97,0.447
0.256,4,97,0.318
0.262,0,102,0.344
0.274,0,112,0.304
0.262,0,102,0.275
0.239,0,82,0.462
0.269,0,108,0.5
0.258,16,98,0.324
0.265,0,104,0.488
0.262,0,102,0.296
0.268,0,107,0.35
0.274,0,112,0.229
0.26,21,100,0.44
0.255,1,95,0.526
0.264,0,104,0.361
0.251,0,92,0.483
0.257,0,98,0.357
0.264,0,104,0.372
0.264,0,104,0.275
0.261,0,101,0.291
0.245,0,87,0.545
0.266,0,105,0.426
0.256,4,97,0.288
0.264,5,103,0.283
0.255,31,96,0.361
0.255,33,96,0.435
0.265,0,105,0.333
0.263,12,102,0.512
0.268,0,107,0.4
0.263,9,103,0.54
0.253,33,94,0.392
0.258,10,98,0.441
0.263,34,103,0.388
0.253,11,94,0.406
0.255,29,95,0.401
0.266,3,105,0.563
0.26,0,100,0.327
0.266,0,105,0.377
0.258,11,99,0.405
0.254,31,95,0.464
0.261,10,101,0.427
0.265,0,104,0.229
0.261,31,101,0.318
0.251,1,92,0.24
0.259,0,99,0.333
0.262,6,102,0.295
0.259,0,99,0.47
0.256,32,96,0.392
0.266,1,105,0.204
0.263,0,103,0.287
0.268,12,107,0.47
0.254,31,95,0.377
0.269,15,108,0.35
0.253,0,94,0.411
0.26,32,100,0.387
0.264,8,103,0.312
0.266,0,105,0.279
0.262,0,101,0.406
0.257,21,97,0.482
0.272,0,111,0.0
0.282,0,119,0.632
0.256,0,96,0.7
0.262,0,101,0.367
0.256,0,97,0.273
0.263,16,103,0.438
0.255,0,96,0.857
0.265,0,104,0.457
0.259,28,99,0.396
0.252,0,93,0.474
0.256,29,96,0.404
0.262,0,101,0.525
0.266,0,106,0.332
0.261,10,100,0.544
0.272,0,111,0.433
0.253,1,94,0.421
0.253,0,94,0.314
0.256,0,97,0.385
0.26,0,100,0.349
0.259,0,99,0.429
0.262,0,102,0.515
0.259,15,99,0.447
0.264,0,103,0.239
0.235,0,78,0.571
0.264,2,104,0.59
0.26,1,100,0.357
0.271,0,109,0.311
0.267,7,106,0.374
0.257,6,98,0.508
0.262,0,102,0.451
0.257,22,97,0.43
0.263,0,103,0.357
0.259,32,99,0.362
0.268,16,107,0.53
0.257,11,97,0.377
0.261,6,101,0.488
0.27,7,109,0.487
0.26,12,100,0.45
0.256,0,96,0.569
0.264,0,103,0.324
0.261,32,100,0.363
0.259,11,99,0.561
0.259,4,99,0.663
0.261,18,101,0.393
0.249,2,90,0.559
0.259,3,99,0.647
0.263,6,103,0.405
0.264,0,103,0.41
0.264,2,104,0.562
0.261,0,101,0.409
0.265,6,104,0.408
0.261,0,101,0.341
0.264,0,103,0.422
0.265,0,104,0.321
0.259,28,99,0.361
0.275,3,113,0.625
0.263,0,103,0.532
0.266,0,105,0.361
0.268,0,107,0.385
0.258,7,98,0.496
0.254,20,94,0.459
0.256,1,97,0.398
0.26,0,100,0.323
0.265,8,105,0.468
0.253,32,94,0.299
0.26,22,100,0.422
0.264,2,103,0.376
0.255,0,96,0.588
0.261,0,101,0.38
0.269,0,108,0.571
0.253,20,94,0.48
0.258,0,98,0.6
0.259,20,99,0.402
0.263,23,103,0.374
0.213,0,60,0.0
0.259,0,99,0.44
0.256,0,97,0.75
0.26,9,100,0.445
0.261,0,101,0.426
0.261,33,101,0.406
0.269,14,108,0.36
0.265,3,104,0.581
0.247,2,89,0.786
0.27,1,109,0.412
0.256,33,97,0.412
0.247,0,88,0.545
0.257,5,97,0.481
0.264,0,103,0.363
0.266,0,105,0.301
0.259,0,99,0.178
0.27,0,109,0.301
0.254,30,95,0.479
0.261,0,101,0.263
0.267,0,106,0.336
0.257,3,98,0.7
0.263,0,103,0.377
0.261,0,101,0.344
