Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:53 AM,33.1 °F,21.2 °F,30.9 °F,92%,29.64 in,0.8 mi,NNE,20.7 mph,31.1 mph,0.02 in,Snow,Light Snow
1:48 AM,33.8 °F,22.5 °F,30.2 °F,87%,29.59 in,1.0 mi,NNE,19.6 mph,-,0.03 in,Snow,Light Snow
1:53 AM,33.1 °F,21.2 °F,30.9 °F,92%,29.61 in,1.0 mi,NNE,20.7 mph,28.8 mph,0.03 in,Snow,Light Snow
2:31 AM,32.0 °F,19.5 °F,30.2 °F,93%,29.57 in,0.8 mi,North,21.9 mph,29.9 mph,0.02 in,Snow,Light Snow
2:53 AM,32.0 °F,19.2 °F,30.9 °F,96%,29.59 in,0.8 mi,North,23.0 mph,33.4 mph,0.03 in,Snow,Light Snow
3:53 AM,32.0 °F,19.2 °F,30.9 °F,96%,29.57 in,0.5 mi,North,23.0 mph,31.1 mph,0.04 in,"Fog , Snow",Snow
4:53 AM,32.0 °F,19.2 °F,30.9 °F,96%,29.56 in,0.5 mi,North,23.0 mph,31.1 mph,0.02 in,"Fog , Snow",Snow
5:53 AM,32.0 °F,19.2 °F,30.9 °F,96%,29.56 in,0.5 mi,North,23.0 mph,33.4 mph,0.02 in,"Fog , Snow",Snow
6:53 AM,32.0 °F,18.9 °F,30.0 °F,92%,29.57 in,0.5 mi,North,24.2 mph,35.7 mph,0.01 in,"Fog , Snow",Snow
7:20 AM,32.0 °F,18.9 °F,30.2 °F,93%,29.54 in,0.2 mi,North,24.2 mph,34.5 mph,0.01 in,"Fog , Snow",Snow
7:53 AM,32.0 °F,18.6 °F,30.0 °F,92%,29.56 in,0.5 mi,North,25.3 mph,35.7 mph,0.01 in,"Fog , Snow",Snow
8:02 AM,32.0 °F,19.2 °F,30.2 °F,93%,29.54 in,0.2 mi,North,23.0 mph,32.2 mph,0.00 in,"Fog , Snow",Snow
8:35 AM,32.0 °F,18.9 °F,30.2 °F,93%,29.55 in,0.5 mi,North,24.2 mph,31.1 mph,0.00 in,"Fog , Snow",Light Snow
8:53 AM,32.0 °F,19.5 °F,30.0 °F,92%,29.58 in,0.5 mi,North,21.9 mph,31.1 mph,0.00 in,"Fog , Snow",Light Snow
9:25 AM,32.0 °F,19.5 °F,30.2 °F,93%,29.56 in,1.2 mi,North,21.9 mph,29.9 mph,0.00 in,Snow,Light Snow
