FR,Wm Alpha,Wm US,IT,UK,JP,DE,CN (cm),KR,Bust (inches),Waist (inches),Hip (inches)
32,XXS,0,34,2,3,28,82,44,"31""","23""","33 1/2"""
34,XS,0,36,4,5,30,84,44,"32 1/2""","24""","35"""
36,S,2,38,6,7,32,86,44,"33""","25""","36"""
38,S,4,40,8,9,34,88,55,"34""","26""","37"""
40,M,6,42,10,11,36,90,55,"35""","27""","38"""
42,M,8,44,12,13,38,92,66,"36""","28""","39"""
44,L,10,46,14,15,40,96,66,"37 1/2""","29 1/2""","40 1/2"""
46,L,12,48,16,17,42,98,77,"39""","31""","42"""
48,XL,14,50,18,19,44,102,88,"40""","32 1/2""","43 1/2"""
50,XL,16,52,20,21,46,106,-,"41""","33""","44"""
52,XXL,18,54,22,23,48,110,-,"43""","34 1/2""","45"""
