Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
TE Bailey,1949-1950,7,12,1384,770,26,6/84,7/50,29.61,3.33,53.2,2,0,3,0
AV Bedser,1946-1950,27,48,8820,3390,107,7/49,11/93,31.68,2.30,82.4,3,2,17,0
FR Brown,1931-1950,10,14,1334,634,16,3/81,4/95,39.62,2.85,83.3,0,0,7,0
DCS Compton,1937-1950,38,44,2168,1052,20,5/70,5/77,52.60,2.91,108.4,1,0,27,0
JG Dewes,1948-1950,4,-,-,-,-,-,-,-,-,-,-,-,0,0
TG Evans,1946-1950,31,-,-,-,-,-,-,-,-,-,-,-,53,24
L Hutton,1937-1950,45,11,200,180,2,1/4,1/11,90.00,5.40,100.0,0,0,31,0
AJW McIntyre,1950-1950,2,-,-,-,-,-,-,-,-,-,-,-,4,0
RT Simpson,1948-1950,7,2,21,18,0,-,-,-,5.14,-,0,0,4,0
C Washbrook,1937-1950,29,1,12,8,0,-,-,-,4.00,-,0,0,9,0
DVP Wright,1938-1950,28,50,7091,3626,91,7/105,10/175,39.84,3.06,77.9,5,1,9,0
