DRtg,BLK%,AST%,Age,GS,Tm
125,0.0,0.0,26-080,1,NJN
105,0.0,0.0,25-295,0,CHI
124,0.0,0.0,26-008,0,NJN
118,0.0,0.0,26-035,1,NJN
109,0.0,7.6,26-069,1,NJN
102,0.0,0.0,25-302,0,CHI
95,0.0,9.5,25-285,0,CHI
117,0.0,0.0,26-034,1,NJN
132,0.0,0.0,25-337,0,NJN
99,0.0,0.0,26-064,1,NJN
113,0.0,8.7,25-355,0,NJN
115,0.0,0.0,26-037,1,NJN
116,0.0,0.0,26-021,0,NJN
125,0.0,0.0,26-050,0,NJN
127,0.0,0.0,25-284,0,CHI
113,0.0,0.0,25-357,0,NJN
119,2.2,0.0,26-042,1,NJN
113,1.8,0.0,26-018,0,NJN
120,0.0,0.0,25-335,0,NJN
107,0.0,0.0,25-312,0,CHI
94,0.0,4.3,26-084,1,NJN
107,2.5,12.3,26-025,0,NJN
119,0.0,0.0,26-056,1,NJN
111,0.0,0.0,25-329,0,NJN
125,0.0,9.8,26-055,1,NJN
111,0.0,0.0,25-305,0,CHI
124,0.0,4.1,26-067,1,NJN
120,2.7,0.0,26-003,0,NJN
97,0.0,0.0,26-058,1,NJN
