3B,SO,SH,G,HR
0,2,0,6,0
0,5,1,10,1
0,15,2,36,0
0,43,2,75,12
0,41,7,66,0
0,2,0,10,0
0,45,1,56,0
0,31,0,104,17
1,23,4,57,4
1,35,2,107,9
0,3,0,14,0
0,8,2,15,0
1,35,1,57,4
0,16,0,38,0
1,18,2,76,4
0,39,1,77,0
1,32,9,73,0
0,3,0,7,0
0,47,13,92,0
0,39,0,86,2
0,3,0,8,0
0,6,0,13,1
1,50,5,103,4
2,16,3,26,0
1,20,3,76,1
0,54,0,88,14
1,23,2,76,1
0,1,0,3,0
0,23,1,55,3
0,22,0,44,8
3,36,0,79,8
0,13,4,72,3
0,5,0,27,0
0,26,0,50,9
0,16,2,22,0
1,35,5,80,3
0,29,0,63,11
9,50,8,93,1
5,61,8,81,0
3,30,7,99,4
0,29,3,74,6
0,56,0,97,11
1,33,5,92,2
0,29,9,58,0
0,73,11,104,10
0,9,0,45,2
0,23,0,33,6
1,20,1,74,2
0,23,0,35,2
0,14,0,16,3
4,31,3,75,0
3,65,0,95,5
2,35,7,85,0
0,33,0,76,17
0,8,0,43,2
0,66,7,102,9
0,31,4,59,0
1,27,3,77,1
5,56,2,105,10
0,5,0,14,0
3,60,6,77,5
0,82,2,93,14
1,49,3,93,8
0,6,1,13,2
6,98,4,103,9
1,13,1,29,0
0,24,2,60,0
0,50,0,68,7
0,9,3,66,6
1,3,1,6,0
2,17,2,68,1
3,55,6,110,4
0,23,9,84,1
0,11,0,11,1
1,34,0,36,1
6,55,8,103,11
1,37,0,85,19
0,13,1,49,0
4,55,9,96,1
4,65,9,101,1
3,47,4,100,24
0,47,7,97,14
0,21,1,53,0
0,23,0,49,5
0,46,1,91,10
0,55,1,107,13
2,26,2,54,2
0,18,2,39,0
0,1,0,10,0
1,32,8,83,2
0,54,0,106,10
6,91,0,104,6
1,13,3,54,0
2,24,3,45,3
1,48,0,104,11
0,2,1,10,0
1,29,6,94,1
5,34,4,105,3
0,2,0,20,0
2,35,4,95,3
2,33,0,55,9
0,20,7,56,2
2,19,11,74,1
3,21,4,69,0
1,28,16,68,0
0,11,2,32,1
0,6,0,10,0
0,0,0,3,0
