ip,hbp,Opponent,h
7.0,0,South Alabama,3
6.0,0,Alabama,5
7.0,0,Lipscomb,11
7.0,1,TULSA,4
6.0,1,Chattanooga,4
6.0,0,Jacksonville State,4
6.0,0,Southern Miss,4
7.0,0,Chattanooga,10
7.0,0,SOUTH ALABAMA,3
7.0,1,UTEP,11
8.2,0,Lipscomb,15
7.0,1,KENNESAW STATE,4
7.0,0,Alcorn State,3
7.0,1,TROY,4
7.0,0,TULSA,7
7.0,0,Mississippi State,8
7.0,0,Samford,5
7.0,1,KENNESAW STATE,1
7.0,0,ALABAMA,6
6.0,0,Northwestern State,6
6.0,0,HOUSTON,6
7.0,0,BOSTON,6
7.0,0,CMU,8
6.0,1,East Carolina,7
7.0,0,UCF,5
7.0,0,Southern Miss,11
7.0,0,MEMPHIS,8
