GS,Opp,eFG%,ORB%,Age,ORtg,TRB%
0,PHO,.500,10.7,27-127,82,16.7
1,MIL,.500,5.5,27-081,126,10.8
0,UTA,.400,0.0,27-108,56,17.1
1,NJN,.333,18.0,27-078,61,20.2
0,POR,.600,21.7,27-090,107,21.4
1,SAC,.250,9.5,27-074,68,24.3
0,LAL,.250,24.2,27-133,61,16.9
0,MIN,.750,0.0,27-107,105,5.4
1,MEM,.000,0.0,27-061,0,43.7
1,GSW,.500,15.8,27-072,94,15.5
0,PHI,.667,13.3,27-110,89,18.2
0,DEN,.500,10.6,27-124,93,17.4
1,UTA,.500,5.5,27-060,105,11.3
0,HOU,.833,13.0,26-353,169,18.0
1,BOS,1.000,11.5,27-080,117,15.5
0,LAL,.000,21.1,27-051,52,21.6
1,CLE,.364,3.6,27-056,82,9.4
0,MEM,.500,20.8,27-131,99,15.8
1,SAC,.250,40.3,27-089,66,25.7
0,SAS, ,0.0,27-145, ,0.0
0,SAS,.750,20.0,27-052,91,18.3
0,GSW,.333,10.5,26-349,78,16.5
0,ATL,.400,0.0,27-101,95,6.9
0,HOU,1.000,0.0,27-146,166,4.1
0,NOH, ,0.0,26-354, ,0.0
0,LAC,.667,6.3,27-054,146,23.0
0,MIN,.400,22.2,27-136,65,27.4
0,CHI,.571,26.2,27-135,90,23.1
0,DET,.600,7.6,27-099,86,10.8
0,WAS,.000,31.2,27-129,28,26.6
