Higher Education Institution,Degree Type,Gender,Asian / Pac Isl,Black,Filipino,Latino,Native American,Other,White,Non Res Alien,No Response,Total
Allan Hancock College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
American River College,Associate Degrees,Men,0,0,0,0,0,0,3,0,0,3
 , ,Women,0,0,0,1,0,0,0,0,0,1
Bakersfield College,Associate Degrees,Men,0,0,0,2,0,0,0,0,0,2
 , ,Women,0,0,0,0,0,0,1,0,1,2
Cabrillo College,Associate Degrees,Men,0,0,0,4,0,0,9,0,1,14
 , ,Women,0,0,0,0,0,0,2,0,0,2
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,1,0,0,0,0,0,1
Cerritos College,Associate Degrees,Men,0,0,0,1,0,0,1,0,0,2
 , ,Women,0,0,0,2,0,0,0,0,0,2
Chabot College,Associate Degrees,Men,0,0,0,0,0,0,0,0,1,1
College of Marin,Associate Degrees,Men,0,0,0,0,0,0,1,0,1,2
 , ,Women,0,0,0,0,0,0,1,0,0,1
College of San Mateo,Associate Degrees,Men,0,0,0,2,0,0,0,0,0,2
 , ,Women,0,0,0,1,0,0,0,1,0,2
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,1,0,0,0,0,0,0,0,1
 , ,Women,0,0,0,1,0,0,0,1,0,2
College of the Canyons,Associate Degrees,Men,0,0,0,1,0,0,1,0,0,2
 , ,Women,0,0,0,1,0,0,0,0,0,1
College of the Desert,Associate Degrees,Women,0,0,0,2,0,0,0,0,0,2
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,0,0,0,1,0,1,2
College of the Sequoias,Associate Degrees,Men,0,0,0,3,0,0,1,1,0,5
 , ,Women,1,0,0,2,0,0,1,0,0,4
College of the Siskiyous,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,0,0,0,1,0,0,1
Columbia College,Associate Degrees,Women,0,0,0,0,0,0,1,0,0,1
Compton College - Center,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,1,0,0,0,0,0,0,0,1
Cosumnes River College,Associate Degrees,Women,0,1,0,0,0,0,0,0,0,1
Cuesta College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,0,0,0,1,0,0,1
Cypress College,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,0,0,0,0,1,0,1
De Anza College,Associate Degrees,Men,0,0,0,1,0,0,0,0,0,1
 , ,Women,1,0,0,0,0,0,0,0,1,2
El Camino College,Associate Degrees,Men,0,1,0,3,0,0,1,0,0,5
 , ,Women,0,0,0,1,0,0,0,0,0,1
Foothill College,Associate Degrees,Men,1,0,0,0,0,0,1,0,0,2
 , ,Women,2,0,0,0,0,0,4,0,0,6
Fullerton College,Associate Degrees,Men,0,0,1,1,0,0,1,2,0,5
Glendale Community College,Associate Degrees,Unknown,0,0,0,0,0,0,0,1,0,1
Grossmont College,Associate Degrees,Men,0,0,0,0,0,0,1,1,0,2
Hartnell College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,0,0,0,0,0,1,1
Imperial Valley College,Associate Degrees,Men,0,0,0,1,0,0,0,0,0,1
Irvine Valley College,Associate Degrees,Men,0,0,0,1,0,0,0,1,0,2
 , ,Women,1,0,0,0,0,0,0,0,0,1
Laney College,Associate Degrees,Men,0,1,0,0,0,0,1,0,1,3
 , ,Women,1,0,0,0,0,0,1,0,0,2
Las Positas College,Associate Degrees,Men,1,0,0,0,0,0,2,0,0,3
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Women,0,0,0,0,0,0,2,0,0,2
Long Beach City College,Associate Degrees,Women,1,0,1,0,0,0,0,0,0,2
Los Angeles City College,Associate Degrees,Men,0,0,0,2,0,0,0,0,0,2
 , ,Women,0,1,0,1,0,0,0,0,0,2
Los Angeles Southwest College,Associate Degrees,Men,0,1,0,0,0,0,0,0,0,1
Los Angeles Valley College,Associate Degrees,Men,0,0,0,0,0,0,2,0,0,2
 , ,Women,1,1,0,0,0,0,0,0,0,2
Los Medanos College,Associate Degrees,Men,0,0,1,0,0,0,1,0,0,2
Merced College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
MiraCosta College,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,0,0,0,2,0,0,2
Mission College,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,1,0,0,0,0,0,1
Modesto Junior College,Associate Degrees,Women,0,0,0,0,0,0,2,0,0,2
Monterey Peninsula College,Associate Degrees,Men,0,0,0,0,0,0,2,0,0,2
Moorpark College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,0,0,0,1,0,0,1
Mt. San Antonio College,Associate Degrees,Men,1,0,1,0,0,0,0,0,0,2
 , ,Women,0,0,0,1,0,0,0,0,0,1
Ohlone College,Pre-Baccalaureate Certificate - Less than 1 Yr,Women,1,0,0,0,0,0,0,3,0,4
Orange Coast College,Associate Degrees,Men,0,0,0,1,0,0,0,0,0,1
Palomar College,Associate Degrees,Women,1,0,0,0,0,0,0,0,0,1
Rio Hondo College,Associate Degrees,Men,0,0,0,2,0,0,0,0,0,2
 , ,Women,0,0,0,1,0,0,0,0,0,1
Riverside City College,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,1,1,0,4,1,1,1,0,1,10
 , ,Women,1,0,0,0,0,0,0,1,0,2
Sacramento City College,Associate Degrees,Men,0,0,0,0,0,0,1,0,1,2
Saddleback College,Associate Degrees,Men,0,0,0,0,0,0,5,0,0,5
 , ,Women,1,0,0,0,0,0,2,0,0,3
 , ,Unknown,0,0,0,0,0,0,1,0,0,1
San Bernardino Valley College,Associate Degrees,Men,0,0,0,1,0,0,0,0,0,1
San Diego City College,Associate Degrees,Women,0,0,0,0,0,0,1,0,0,1
San Diego Mesa College,Associate Degrees,Women,0,0,0,0,0,0,1,0,0,1
San Diego Miramar College,Associate Degrees,Men,0,0,0,0,0,0,0,0,1,1
San Joaquin Delta College,Associate Degrees,Men,0,0,0,0,0,0,2,0,0,2
 , ,Women,1,0,0,0,0,0,2,0,0,3
San Jose City College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
Santa Ana College,Associate Degrees,Women,1,0,0,0,0,0,1,0,0,2
Santa Barbara City College,Associate Degrees,Men,0,0,0,1,0,0,1,0,0,2
 , ,Women,0,0,0,0,0,0,1,0,0,1
Santa Monica College,Associate Degrees,Men,0,0,0,0,0,0,1,1,0,2
 , ,Women,0,1,0,0,0,0,1,0,0,2
Shasta College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,0,0,0,0,0,1,1
Sierra College,Associate Degrees,Men,0,0,0,0,0,0,1,0,1,2
 , ,Women,0,0,0,0,0,0,1,0,0,1
Skyline College,Associate Degrees,Men,0,1,0,1,0,0,0,0,0,2
 , ,Women,0,0,0,1,0,0,0,0,0,1
Solano Community College,Associate Degrees,Men,0,1,1,1,0,0,4,0,0,7
 , ,Women,0,1,0,0,0,0,1,0,0,2
Southwestern College,Associate Degrees,Men,0,0,0,0,0,0,1,0,0,1
 , ,Women,0,0,0,2,0,0,0,0,0,2
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Women,0,0,0,1,0,0,0,0,0,1
Ventura College,Associate Degrees,Men,0,0,0,1,0,0,1,0,0,2
 , ,Unknown,0,0,0,0,0,0,1,0,0,1
 ,Pre-Baccalaureate Certificate - Less than 1 Yr,Men,0,0,0,1,0,0,0,0,0,1
 , ,Women,0,0,0,0,0,0,1,0,0,1
West Valley College,Associate Degrees,Men,0,1,0,0,0,0,1,0,0,2
 , ,Women,1,0,0,0,0,0,1,0,1,3
Yuba College,Associate Degrees,Men,0,0,0,0,0,0,2,0,0,2
California Community Colleges Total, , ,19,14,5,55,1,1,93,14,14,216
