POS,AVG,RBI,Team,Player,3B,OPS,BB,SO
C,0.211,5,REA,R Gomez,0,0.563,4,5
RF,0.231,23,NH,B Glenn,1,0.756,20,53
2B,0.209,2,ERI,B Loy,0,0.532,4,6
CF,0.238,26,BIN,B Nimmo,4,0.735,36,54
1B,0.259,1,AKR,C Valerio,0,0.593,3,7
2B,0.27,50,NH,J Berti,7,0.696,35,82
C,0.296,13,ALT,C Paulino,0,0.71,3,19
OF,0.293,59,BIN,J Boyd,2,0.796,52,67
LF,0.148,2,BOW,M Burgess,0,0.401,1,5
SS,0.332,62,RIC,M Duffy,4,0.842,42,66
3B,0.247,3,HAR,S Nicol,0,0.614,8,19
1B,0.185,1,BIN,N Zapata,0,0.55,3,4
OF,0.213,9,RIC,B Krill,1,0.582,5,13
C,0.233,4,TRN,T Blaser,0,0.551,3,23
C,0.282,19,REA,T Joseph,1,0.896,5,13
CF,0.223,40,TRN,M Williams,4,0.593,47,68
SS,0.284,29,ERI,E Suarez,1,0.85,15,38
LF,0.24,11,RIC,E Blair,0,0.63,10,27
CF,0.297,21,NBR,A Hicks,1,0.871,28,27
1B,0.152,3,AKR,J Sabourin,0,0.371,2,4
RF,0.248,50,AKR,J Smith,4,0.631,33,82
1B,0.227,54,RIC,A Villalona,4,0.671,23,94
CF,0.313,30,AKR,T Naquin,5,0.795,29,71
OF,0.19,10,BIN,C Vaughn,0,0.575,15,47
2B,0.272,44,REA,C Alonso,3,0.763,60,70
3B,0.317,32,BOW,B Britton,1,0.842,22,23
DH,0.25,3,POR,D Bethea,0,0.708,1,1
C,0.182,4,HAR,W Ramos,0,0.636,0,1
1B,0.259,46,NBR,N Hanson,0,0.697,34,54
OF,0.182,7,POR,B Greenwell,0,0.531,9,13
1B,0.301,77,BOW,C Walker,2,0.884,38,83
3B,0.262,16,NH,A Fermin,0,0.735,8,10
2B,0.34,14,REA,C Hernandez,1,0.896,13,13
LF,0.4,0,NBR,E Nunez,1,1.138,3,2
3B,0.204,4,HAR,O Tejeda,1,0.524,1,13
C,0.24,3,ERI,D Longley,1,0.589,1,12
C,0.188,21,HAR,B Jeroloman,0,0.569,30,59
1B,0.083,0,REA,R Ryal,0,0.25,0,3
2B,0.241,45,NBR,T Thomas,6,0.712,37,141
RF,0.219,20,BOW,C Chiang,1,0.597,12,28
OF,0.315,9,BOW,N Reimold,0,0.902,12,13
C,0.263,12,RIC,T LaTorre,0,0.655,16,43
C,0.32,16,TRN,F Arcia,1,0.779,5,16
CF,0.237,36,NBR,E Rosario,3,0.672,17,68
2B,0.34,48,BIN,D Herrera,3,0.967,29,52
RF,0.236,64,HAR,K Keyes,1,0.74,43,104
1B,0.385,23,TRN,K Roller,0,1.263,9,21
1B,0.281,63,NBR,K Vargas,0,0.832,43,68
2B,0.233,15,RIC,S Stromsmoe,2,0.668,58,56
LF,0.277,41,HAR,Q Latimore,2,0.786,36,75
C,0.183,5,NH,Y Carter,0,0.449,3,19
C,0.223,13,NH,A Jimenez,0,0.615,6,19
3B,0.172,2,REA,M Tolbert,0,0.403,2,4
OF,0.246,62,ALT,S Allie,0,0.801,71,127
C,0.25,25,BOW,D Freitas,0,0.733,19,24
2B,0.342,30,TRN,R Refsnyder,5,0.933,14,38
RF,0.276,105,ERI,S Moya,3,0.861,23,161
RF,0.245,43,HAR,C Ramsey,2,0.602,42,75
C,0.133,0,TRN,F Cervelli,0,0.483,4,4
C,0.215,33,NBR,K Knudson,0,0.544,13,57
RF,0.275,58,RIC,J Parker,6,0.833,45,103
SS,0.278,48,AKR,F Lindor,4,0.741,40,61
SS,0.275,4,NBR,A Mejia,0,0.645,6,9
