Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Michael Almanzar,Sal,351,47,110,27,0,10,42,9,3,27,61,0.313,0.37,0.476,0.846
Sean Coyle,Sal,347,42,86,26,2,6,46,14,1,20,92,0.248,0.313,0.386,0.699
Brandon Jacobs,Sal,341,39,72,22,0,6,38,12,5,27,109,0.211,0.279,0.328,0.607
Xander Bogaerts,Sal,304,47,95,22,3,10,51,3,3,26,65,0.313,0.373,0.503,0.876
Shannon Wilkerson,Sal,299,36,78,14,3,3,31,22,5,16,68,0.261,0.295,0.358,0.653
Travis Shaw,Sal,252,45,74,21,3,9,47,8,1,46,65,0.294,0.406,0.508,0.914
Christian Vazquez,Sal,228,27,60,11,0,5,33,2,2,24,56,0.263,0.342,0.377,0.72
Adalberto Ibarra,Sal,205,26,57,15,1,0,22,4,4,29,33,0.278,0.379,0.361,0.74
Heiker Meneses,Sal,190,22,45,14,2,1,19,11,6,7,45,0.237,0.289,0.347,0.637
Jackie Bradley,Sal,175,40,64,19,2,3,24,11,6,42,28,0.366,0.487,0.549,1.035
Drew Hedman,Sal,148,25,39,10,2,4,25,7,1,31,42,0.264,0.389,0.439,0.828
Carson Blair,Sal,134,19,25,7,2,3,18,1,3,17,41,0.187,0.279,0.336,0.615
Matty Johnson,Sal,120,24,32,8,1,1,14,2,6,17,21,0.267,0.353,0.375,0.728
Felix Sanchez,Sal,100,6,22,4,1,0,6,14,4,9,34,0.22,0.304,0.28,0.584
Lucas LeBlanc,Sal,99,10,17,4,1,0,4,1,3,9,25,0.172,0.272,0.232,0.504
James Kang,Sal,90,8,17,3,3,0,4,1,3,11,31,0.189,0.286,0.289,0.575
Jayson Hernandez,Sal,34,1,3,2,0,0,0,0,0,1,9,0.088,0.114,0.147,0.261
David Renfroe,Sal,29,1,4,0,0,0,2,0,1,2,7,0.138,0.212,0.138,0.35
Matthew Marquis,Sal,26,1,3,1,0,0,1,1,0,2,13,0.115,0.179,0.154,0.332
Zach Gentile,Sal,21,4,7,2,0,0,4,1,0,6,3,0.333,0.481,0.429,0.91
David Chester,Sal,21,2,7,1,0,1,4,0,0,1,5,0.333,0.348,0.524,0.872
Keury De La Cruz,Sal,18,1,5,2,0,1,5,0,0,1,2,0.278,0.316,0.556,0.871
Ryan Kalish,Sal,10,3,4,0,0,1,1,1,1,0,2,0.4,0.4,0.7,1.1
Bryan Johns,Sal,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393
