Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Castleton,"L, 35-31",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 14,at Mount Ida,"W, 37-26",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 21,Western Connecticut,"L, 35-3",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,at UMass Dartmouth,"L, 38-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Westfield State,"L, 31-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19,Bridgewater State,"L, 56-28",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,at Framingham State,"L, 41-9",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 2,Worcester State,"W, 34-31",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,at Mass. Maritime,"L, 46-44",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Fitchburg State,"L, 41-30",-,-,0,-,-,0,-,-,-,-,-,-,-,-
