oppAVG,oppRPA+,AB,oppOBP,oppOPS
0.252,98,292,0.312,0.705
0.25,94,289,0.309,0.692
0.252,99,357,0.314,0.71
0.252,103,814,0.314,0.713
0.257,106,664,0.318,0.725
0.256,107,762,0.319,0.725
0.252,95,443,0.31,0.7
0.253,98,771,0.311,0.706
0.252,103,587,0.313,0.709
0.262,111,527,0.325,0.742
0.239,89,299,0.299,0.673
0.256,106,721,0.317,0.727
0.25,101,682,0.313,0.706
0.248,94,384,0.306,0.686
0.246,92,727,0.306,0.685
0.255,96,445,0.315,0.708
0.255,104,523,0.318,0.716
0.247,93,433,0.308,0.686
0.26,110,767,0.323,0.741
0.248,97,338,0.31,0.699
0.252,98,611,0.315,0.71
0.25,94,647,0.309,0.698
0.255,98,599,0.314,0.713
0.25,91,799,0.304,0.685
0.261,111,487,0.324,0.742
0.255,106,746,0.317,0.721
0.262,104,271,0.324,0.735
0.257,109,323,0.321,0.725
0.256,106,757,0.319,0.725
0.258,108,546,0.321,0.728
0.25,97,380,0.314,0.701
0.246,94,490,0.307,0.695
0.257,108,299,0.322,0.727
0.258,107,854,0.319,0.727
0.249,93,720,0.308,0.694
0.248,98,757,0.312,0.702
0.252,97,318,0.312,0.702
0.252,99,320,0.316,0.712
0.26,107,613,0.32,0.725
0.25,94,742,0.309,0.688
0.252,103,364,0.314,0.706
0.245,95,364,0.307,0.696
0.255,105,731,0.318,0.722
0.256,107,797,0.321,0.726
0.26,107,676,0.321,0.729
0.258,107,828,0.321,0.727
0.244,90,832,0.304,0.678
0.254,95,544,0.31,0.699
0.256,97,336,0.315,0.716
0.246,91,631,0.306,0.683
0.248,93,537,0.308,0.691
0.252,96,300,0.316,0.699
0.249,94,702,0.308,0.694
0.258,109,562,0.321,0.729
0.251,96,298,0.312,0.7
0.253,102,814,0.316,0.709
0.251,96,371,0.312,0.7
0.253,98,432,0.315,0.706
0.244,89,563,0.302,0.676
0.253,98,743,0.314,0.709
0.247,97,479,0.308,0.701
0.253,100,282,0.318,0.716
0.257,107,533,0.322,0.727
0.25,97,689,0.312,0.7
0.257,106,707,0.318,0.726
0.25,93,840,0.309,0.693
0.25,94,723,0.309,0.691
0.258,104,726,0.317,0.723
0.255,96,577,0.313,0.709
0.248,95,708,0.31,0.696
0.26,111,367,0.324,0.738
0.249,102,279,0.314,0.706
0.251,98,425,0.313,0.703
0.262,108,344,0.323,0.738
0.255,100,735,0.316,0.711
0.25,97,900,0.311,0.703
0.26,107,800,0.322,0.724
0.245,91,805,0.306,0.683
0.256,107,271,0.318,0.722
0.257,108,581,0.321,0.727
0.258,109,736,0.321,0.729
0.252,94,650,0.31,0.702
0.256,106,810,0.317,0.721
0.256,106,620,0.319,0.719
0.249,93,769,0.307,0.692
0.255,100,431,0.313,0.711
0.244,91,367,0.302,0.684
0.255,102,357,0.316,0.71
0.252,103,567,0.314,0.713
0.254,103,521,0.317,0.714
0.249,97,650,0.308,0.702
0.253,99,439,0.314,0.706
0.258,107,579,0.32,0.731
0.246,93,703,0.306,0.689
0.248,92,762,0.306,0.687
0.251,94,714,0.311,0.699
0.262,111,523,0.325,0.741
0.244,93,451,0.303,0.688
0.252,98,282,0.315,0.707
0.258,101,471,0.32,0.721
0.258,107,602,0.321,0.728
0.258,105,857,0.32,0.721
0.258,102,564,0.319,0.717
0.254,105,293,0.318,0.725
0.253,106,332,0.318,0.722
0.252,96,287,0.313,0.703
0.25,103,376,0.315,0.713
0.246,94,292,0.309,0.686
0.247,92,753,0.307,0.685
