Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alixon Suarez,DSL,144,28,42,10,4,1,17,2,3,31,28,0.292,0.446,0.438,0.884
Raymel Flores,DSL,94,18,26,2,7,0,13,4,3,16,24,0.277,0.415,0.447,0.862
Junior Estrella,DSL,35,4,11,4,0,0,6,3,0,5,13,0.314,0.4,0.429,0.829
Aneudis Peralta,DSL,141,20,38,11,1,0,21,2,3,25,25,0.27,0.397,0.362,0.758
Andres Garcia,DSL,161,32,39,3,3,0,22,11,6,39,24,0.242,0.39,0.298,0.689
Kevin Segovia,DSL,25,5,5,0,0,0,2,0,0,6,13,0.2,0.375,0.2,0.575
Manuel Margot,DSL,174,33,47,9,3,4,34,27,8,21,12,0.27,0.371,0.425,0.796
Roberto Duncan,DSL,133,31,29,7,1,2,17,6,1,22,37,0.218,0.367,0.331,0.698
Ricardo Andujar,DSL,86,8,17,0,2,0,8,3,4,14,16,0.198,0.307,0.244,0.551
Robert Del Rosario,DSL,183,26,42,5,2,3,25,13,2,18,40,0.23,0.298,0.328,0.625
Osvaldo Almengo,DSL,70,7,13,2,1,0,8,0,0,6,25,0.186,0.288,0.243,0.53
Anthony Amaya,DSL,137,19,28,6,1,2,18,9,4,14,27,0.204,0.286,0.307,0.592
Gregori Titts,DSL,37,6,5,0,0,0,0,2,0,6,8,0.135,0.273,0.135,0.408
Luis Valenzuela,DSL,22,4,3,0,1,0,0,0,0,4,3,0.136,0.269,0.227,0.497
Pablo Urena,DSL,84,4,14,4,0,0,6,1,1,2,21,0.167,0.228,0.214,0.443
Diory Paulino,DSL,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4
