AVG,R,GIDP,3B,SO,BB,SF,G
.171,23,2,0,56,15,2,56
.241,38,7,9,106,25,1,104
.252,68,7,1,119,74,2,133
.314,35,11,1,32,23,4,65
.400,4,0,0,3,3,1,7
.288,55,2,2,87,37,3,80
.192,1,1,0,6,1,1,10
.248,12,1,2,33,10,0,35
.288,11,2,0,8,5,2,16
.288,55,5,2,76,59,6,101
.230,16,0,0,57,14,0,43
.194,11,0,1,50,5,0,28
.237,55,9,1,78,28,2,91
.193,47,12,4,166,52,4,126
.182,5,0,0,11,4,0,16
.204,7,4,0,11,3,1,16
.237,64,5,2,191,48,0,122
.356,8,1,0,5,5,0,15
.000,1,0,0,2,1,1,2
.318,47,4,3,61,29,1,74
.298,35,2,2,29,17,0,53
.478,4,0,0,2,10,0,8
.257,53,9,2,64,55,2,93
.189,19,2,0,37,36,1,43
.169,23,6,0,65,28,2,67
.190,17,4,0,44,7,1,40
.188,16,4,0,47,25,1,56
.239,16,4,1,9,10,2,33
.147,5,1,0,5,4,0,9
.317,40,3,3,31,19,4,52
--,0,0,0,0,0,0,2
--,0,0,0,0,0,0,1
.276,43,3,4,76,20,2,103
.208,10,2,0,10,7,0,14
.304,33,5,2,22,13,2,62
.216,27,2,0,56,25,0,75
.253,5,2,0,27,0,0,22
.000,0,1,0,1,0,0,2
.286,29,6,1,47,10,2,53
.233,10,4,0,28,9,0,40
--,0,0,0,0,0,0,1
.242,13,0,0,22,12,4,38
.240,22,9,0,27,5,3,64
.125,1,0,0,7,3,0,6
.200,4,0,0,5,4,1,7
.238,37,3,3,64,27,1,67
.327,6,1,0,5,3,0,15
.276,25,5,0,30,37,1,50
.244,22,1,3,15,13,1,36
.216,54,3,3,125,58,2,119
.258,63,9,1,111,28,2,104
--,0,0,0,0,0,0,1
.264,43,6,3,81,33,2,76
.255,29,4,1,35,28,1,66
.268,26,1,0,48,17,1,46
.221,14,5,1,57,10,0,45
.192,44,6,4,108,12,1,107
.261,61,5,7,118,34,3,125
.296,63,5,1,40,58,1,76
.275,66,7,1,72,42,2,106
.222,2,0,0,9,0,1,8
.224,50,8,2,121,57,2,115
.196,10,2,0,31,5,0,31
.234,10,0,1,18,6,0,16
.211,15,1,0,41,13,1,34
.260,37,17,2,93,22,4,100
.281,36,6,0,80,36,2,70
.091,2,0,0,2,2,0,8
.600,2,0,0,0,0,0,1
.171,12,1,0,48,8,0,42
.236,58,6,2,140,47,6,128
.282,33,4,2,45,21,1,61
.238,44,2,2,106,53,3,106
.249,31,5,0,66,34,5,72
.333,0,0,0,0,0,0,1
--,0,0,0,0,0,0,1
.253,23,5,0,28,35,2,51
.173,26,2,1,107,40,3,84
.125,1,1,0,5,3,0,4
.285,72,9,3,111,24,5,129
.209,8,1,0,36,8,1,30
.136,6,0,0,12,13,0,16
.206,20,0,0,49,11,1,43
.342,76,0,11,67,40,1,77
.182,3,0,0,8,2,0,6
.235,51,8,1,85,51,3,119
.429,2,1,0,2,2,0,4
.221,36,10,1,129,7,1,95
.217,46,3,0,99,13,1,125
.254,22,2,1,65,19,2,56
.241,28,7,2,54,13,3,84
.172,6,3,0,44,5,1,36
.188,2,2,0,12,6,0,14
.178,2,1,2,15,4,0,15
.261,50,9,5,81,39,4,96
.255,36,4,2,44,34,1,74
.255,40,6,0,88,29,2,97
.241,65,8,8,152,22,2,126
.170,2,0,0,10,2,1,16
.343,83,5,0,96,61,4,126
.256,5,1,0,2,1,0,13
--,0,0,0,0,0,0,1
.364,4,0,0,2,2,0,4
.277,45,5,5,78,23,2,68
.245,6,2,1,38,7,0,33
.400,1,0,0,0,1,0,2
.308,2,1,0,3,0,0,3
.238,34,4,2,46,17,1,73
.235,42,3,1,80,36,5,96
.299,19,2,1,25,15,5,42
.123,6,1,0,14,10,1,20
.209,40,9,0,77,22,4,118
.272,22,4,4,30,15,2,75
.247,11,1,0,18,6,0,22
.100,0,1,0,2,1,0,6
.238,23,6,0,48,16,3,75
.293,70,7,12,110,15,2,95
.289,15,1,0,35,16,1,45
.233,72,7,8,123,57,2,126
.142,11,5,1,101,15,0,66
.202,12,4,0,28,7,2,36
.245,8,0,0,15,8,0,16
.203,35,14,1,60,30,5,106
.167,7,0,0,52,7,0,27
.320,4,0,0,9,3,0,6
.294,99,8,3,65,68,5,135
.133,6,1,0,28,6,1,23
.370,9,1,1,12,6,0,13
.364,10,1,0,26,13,0,33
.221,19,1,1,35,17,0,48
.167,5,2,0,13,5,0,17
.265,30,4,2,90,23,3,108
.227,12,6,0,18,6,1,38
.271,61,14,1,45,23,6,117
.272,22,5,2,23,14,0,28
.306,4,0,0,9,1,0,10
.118,5,3,0,18,8,0,22
.232,57,4,2,124,48,1,104
