MPG,PPG,#,SPG,TOV,Team,FGA,PF,FTM
35.7,14.8,10,0.8,1.9,SU,11.0,2.1,3.1
18.8,3.3,80,0.7,0.7,USC,3.4,1.9,0.4
29.5,11.3,26,0.4,1.5,Cal,10.3,3.2,1.4
28.0,12.3,21,0.4,2.2,USC,9.3,2.8,2.6
18.0,6.1,58,0.3,1.1,WSU,5.0,1.8,1.3
27.0,7.0,50,0.5,2.5,ASU,5.7,1.8,3.0
25.5,11.1,28,0.8,2.4,ASU,10.2,2.0,1.8
20.2,7.2,49,0.4,0.8,U of U,5.4,1.2,1.2
28.3,11.5,25,0.5,2.0,UO,9.1,3.1,2.4
15.0,5.7,60,0.5,1.0,U of U,4.2,2.3,1.2
30.2,10.6,30,1.3,1.7,U of U,7.8,1.5,1.4
23.7,5.1,65,0.8,1.1,UO,4.0,2.7,0.3
30.9,11.6,23,1.3,1.2,UCLA,8.9,2.9,2.6
19.4,4.1,76,0.5,1.8,WSU,2.9,2.3,1.6
22.0,6.4,56,1.0,1.1,USC,6.2,2.6,0.7
18.3,5.4,63,0.3,1.2,CU,4.2,1.4,0.9
29.7,13.4,17,0.4,2.0,SU,10.2,3.7,3.7
23.1,6.2,57,0.9,1.0,SU,4.9,2.1,1.4
28.6,8.3,44,0.6,1.8,ASU,4.8,3.6,2.3
33.8,15.0,9,1.4,1.9,UW,11.2,2.6,3.8
34.8,17.1,4,1.3,2.8,Cal,14.8,2.8,3.6
36.2,15.4,8,1.0,2.5,UCLA,11.9,1.5,3.3
17.1,4.5,67,0.2,0.7,Cal,3.6,2.6,1.0
32.7,14.7,11,0.4,1.0,WSU,10.7,2.2,3.7
30.0,7.8,47,0.5,1.4,OSU,6.6,1.9,1.1
16.5,4.3,71,0.2,0.5,WSU,4.1,1.1,0.1
31.1,13.5,15,0.6,1.5,Cal,9.7,1.9,2.8
21.4,4.3,72,0.5,1.3,OSU,3.2,3.1,1.4
31.2,12.4,20,1.6,1.4,ASU,9.8,2.1,2.7
20.7,5.6,62,0.3,1.1,ASU,4.2,1.6,0.4
36.3,13.4,16,3.1,1.9,OSU,10.8,2.7,2.1
30.2,17.2,3,1.4,2.3,CU,14.4,1.8,4.2
26.3,9.7,35,0.3,1.1,UW,6.7,2.4,1.6
26.0,9.3,36,0.4,1.4,U of A,5.7,3.1,2.8
17.2,4.4,69,0.3,0.7,UW,4.1,1.2,1.7
24.0,4.5,68,0.7,1.4,Cal,4.0,2.4,0.5
36.7,20.7,1,1.1,2.4,UO,16.4,1.4,3.4
27.8,12.2,22,0.6,1.4,U of A,8.5,2.8,3.2
17.9,5.2,64,0.4,1.5,USC,4.3,2.2,0.6
28.4,13.8,14,1.5,2.1,U of A,10.3,2.6,3.5
33.9,10.5,31,0.9,2.3,UCLA,9.4,2.3,1.2
