Result,H,Notes,Player
L 5-9 @MIL,1,1st career home run,Josh Vitters
W 4-2 @PIT,1,"1st career home run, 1st career RBI",Anthony Recker
L 11-7 vs SDN,2,0 Triples,David DeJesus
W 5-3 vs NYN,0,2 hit by pitches,Alfonso Soriano
L 12-3 @CHA,0,2 hit by pitches,David DeJesus
W 7-2 vs HOU,2,1st career RBI,Brett Jackson
L 4-8 vs PIT,0,1st career game,Alberto Cabrera
W 6-4 @SLN,4,"4 hits, 1st career stolen base",Bryan Lahair
W 5-10 @ARI,4,4 hits,Starlin Castro
L 13-9 vs PIT,3,"2 home runs, 6 RBIs",Anthony Rizzo
L 2-8 @MIL,1,1st career hit,Adrian Cardenas
W 5-1 vs ATL,0,1st career game,Adrian Cardenas
L 4-7 @SDN,0,1st career game,Brooks Raley
L 5-6 vs CIN,4,4 hits,Starlin Castro
L 3-5 @CIN,2,1000th career RBI,Alfonso Soriano
W 7-1 vs HOU,4,4 hits,Anthony Rizzo
W 5-10 @ARI,4,4 hits,David DeJesus
L 5-7 vs MIL,0,1000th career game,Reed Johnson
W 8-1 vs ARI,4,"2 home runs, 5 RBIs, 4 hits",Alfonso Soriano
L 5-7 vs SFN,0,500th career game,Shawn Camp
W 7-2 vs HOU,4,"2 home runs, 4 hits",David DeJesus
W 8-7 @NYN,4,4 hits,Anthony Rizzo
