G,DP,SB,E,Rtot/yr,PO,Tm,Fld%
116,3,86,9,3,586,SFG,.986
53,5,47,8,0,268,HOU,.974
113,2,69,7,0,572,TOT,.989
3,1,0,0,0,8,LAD,1.000
31,4,35,6,-30,157,SFG,.965
22,1,16,1,17,81,ATL,.990
32,4,35,6,-30,157,TOT,.965
18,0,15,0,-19,83,PIT,1.000
4,0,2,0,0,14,CHC,1.000
4,0,8,0,-100,16,MON,1.000
107,6,49,7,10,605,CIN,.989
34,1,14,1,19,175,PHI,.995
24,1,13,4,-8,77,LAD,.956
58,3,27,7,0,178,CHC,.967
5,0,0,0,60,12,NYM,1.000
71,7,42,3,10,276,SDP,.991
41,0,18,3,0,135,SDP,.980
76,3,30,6,8,337,SDP,.984
37,2,38,5,-22,182,SFG,.975
97,7,67,15,-10,537,PIT,.975
51,0,36,2,3,288,HOU,.994
26,1,27,1,-27,104,TOT,.991
2,0,0,0,-600,0,SFG, 
79,1,82,5,-16,454,ATL,.990
55,2,52,6,-26,271,HOU,.981
12,1,16,1,-46,39,MON,.977
21,0,13,3,-8,83,ATL,.970
91,3,40,5,23,373,LAD,.988
55,3,54,3,-5,326,PIT,.991
32,0,19,2,-21,123,LAD,.985
