MP,Rk,AST%,G,STL%,Age
29:00,46,0.0,46,0.0,29-336
13:00,2,16.3,2,0.0,29-241
23:00,45,5.7,45,0.0,29-335
25:00,66,11.6,66,0.0,30-019
19:00,5,12.1,5,0.0,29-246
24:00,41,6.3,41,2.4,29-326
18:00,29,0.0,29,0.0,29-302
6:00,21,24.2,21,0.0,29-284
36:00,58,4.8,58,0.0,30-000
36:00,56,4.2,56,0.0,29-362
8:00,23,0.0,23,6.5,29-288
31:00,4,0.0,4,0.0,29-244
29:00,48,0.0,48,0.0,29-341
13:00,17,0.0,17,0.0,29-278
24:00,33,10.0,33,2.2,29-309
5:00,19,0.0,19,0.0,29-281
11:00,9,0.0,9,4.5,29-256
18:00,13,0.0,13,0.0,29-267
22:00,36,5.6,36,0.0,29-314
16:00,6,0.0,6,0.0,29-248
23:00,55,0.0,55,2.2,29-360
7:00,15,0.0,15,0.0,29-270
28:00,67,4.8,67,0.0,30-021
30:00,64,4.7,64,0.0,30-014
33:00,3,0.0,3,1.5,29-242
