BLK%,TS%,MP
0.0,.333,13:00
0.0,1.000,3:00
0.0, ,4:00
6.2,.678,14:00
5.0,.000,14:00
0.0,.000,2:00
8.1,.425,18:00
17.7,.000,4:00
0.0, ,4:00
6.3,.000,12:00
5.4,.333,13:00
0.0,1.000,2:00
0.0,.500,18:00
0.0,.333,18:00
0.0,.500,9:00
0.0,.589,14:00
0.0,.000,5:00
4.6,.286,16:00
0.0,.000,3:00
0.0,.792,17:00
5.3,.307,13:00
0.0, ,2:00
0.0,.694,18:00
0.0,.387,4:00
0.0,.532,5:00
0.0,.400,13:00
5.2,.556,28:00
0.0, ,6:00
7.6,.600,17:00
0.0,.000,4:00
0.0,.000,7:00
0.0,.680,19:00
5.3,1.042,14:00
0.0,.333,6:00
3.1,.429,28:00
0.0,.429,24:00
