AB,SLG,3B,2B,R,H,SB,G,SF
295,.424,0,14,35,84,0,76,2
330,.342,3,14,31,84,10,90,0
207,.246,0,10,23,35,0,67,2
358,.338,1,19,36,79,9,95,1
92,.293,0,3,10,21,4,23,0
245,.494,1,24,35,77,1,65,4
24,.417,0,2,6,8,0,8,0
0,--,0,0,0,0,0,1,0
341,.284,1,15,19,65,3,97,2
109,.303,1,2,16,26,0,33,2
303,.350,2,15,53,78,11,93,2
358,.402,8,15,54,86,20,110,3
447,.427,2,18,64,106,24,122,0
349,.372,5,20,50,91,17,96,4
159,.333,0,8,21,30,2,43,1
407,.290,3,16,45,87,17,110,1
183,.399,0,9,26,49,10,46,1
22,.364,0,1,3,4,0,6,0
65,.169,1,0,5,9,0,21,0
5,1.200,0,0,2,3,0,1,0
19,.263,0,2,1,3,0,5,0
32,.281,1,0,5,7,0,10,0
440,.352,5,21,47,109,12,123,1
66,.106,0,0,5,7,1,25,1
381,.328,2,20,51,89,12,120,6
165,.309,2,8,21,30,1,54,3
195,.456,4,11,36,64,32,47,0
255,.416,2,14,31,61,1,77,1
12,.333,0,0,2,4,0,3,0
260,.323,2,12,34,62,12,73,1
147,.333,0,8,23,38,2,38,3
48,.333,0,2,5,8,0,17,0
205,.361,2,6,35,61,13,53,0
400,.303,1,22,45,85,8,111,2
0,--,0,0,0,0,0,1,0
25,.560,0,3,4,8,0,6,0
366,.443,2,18,37,95,1,100,4
129,.233,0,5,12,22,1,42,0
422,.346,1,24,51,99,2,119,3
43,.535,0,4,8,13,0,14,1
0,--,0,0,0,0,0,1,0
101,.267,0,7,12,20,1,34,0
458,.511,3,36,84,132,1,130,2
196,.306,0,8,32,49,10,58,2
3,.000,0,0,0,0,0,1,0
344,.375,0,19,42,92,2,91,4
131,.237,0,4,20,27,10,43,1
242,.430,0,18,36,68,4,70,2
93,.344,1,6,11,18,2,28,0
432,.326,2,23,59,102,7,128,3
477,.413,2,25,63,129,4,122,5
94,.234,0,0,11,19,1,29,0
27,.407,0,3,4,8,0,9,0
0,--,0,0,0,0,0,1,0
444,.419,1,22,61,120,6,123,4
107,.308,0,3,10,21,2,31,0
48,.271,0,1,5,12,4,12,0
225,.276,0,9,21,44,1,70,3
516,.426,3,38,63,140,12,133,4
2,.000,0,0,0,0,0,1,0
180,.311,3,7,26,37,3,57,0
43,.279,0,1,5,11,2,13,0
244,.348,0,11,45,53,14,72,1
462,.433,4,34,60,140,1,121,2
229,.306,3,7,33,51,26,60,0
174,.316,0,7,25,48,4,50,1
326,.322,2,9,66,89,48,89,4
26,.231,0,1,1,5,0,10,1
45,.489,0,6,8,16,3,15,0
429,.345,3,18,75,100,8,115,3
265,.430,3,17,43,70,4,76,2
116,.474,0,5,19,41,0,31,1
14,1.071,0,1,4,5,0,4,0
61,.230,0,0,7,14,2,20,1
0,--,0,0,0,0,0,1,0
173,.387,0,8,17,47,0,49,3
240,.467,5,10,33,65,3,63,4
367,.559,1,24,70,92,13,104,2
200,.415,1,16,20,50,0,55,2
279,.384,2,13,35,69,7,82,7
450,.396,8,27,72,105,21,126,2
402,.286,2,18,50,90,6,115,2
275,.327,1,15,36,64,4,76,0
154,.331,1,9,14,34,4,45,0
127,.354,3,8,22,31,4,36,1
139,.496,1,13,15,42,2,38,2
47,.319,0,1,2,8,0,16,1
45,.267,2,0,2,8,4,15,0
361,.399,2,24,55,104,11,101,6
278,.363,2,14,36,71,5,74,1
404,.394,1,28,66,111,22,106,2
122,.221,0,4,19,23,3,43,1
154,.292,1,3,19,34,10,48,0
9,.111,0,0,0,1,1,3,0
206,.311,0,6,13,55,0,60,1
364,.360,0,20,40,93,2,97,2
416,.334,3,25,54,90,22,119,2
61,.262,0,1,5,15,3,16,0
358,.355,1,19,46,100,50,100,2
324,.355,9,10,38,78,12,104,1
521,.405,3,43,99,153,30,135,5
350,.263,1,13,35,71,4,106,5
129,.271,0,5,10,30,2,40,0
56,.661,2,9,9,21,0,14,0
137,.314,1,6,16,32,2,46,0
76,.263,0,2,6,12,3,24,0
1,.000,0,0,0,0,0,2,0
154,.442,1,8,19,46,1,42,5
479,.388,7,28,56,123,29,125,3
50,.380,0,2,7,11,4,16,1
150,.380,2,8,24,36,18,43,0
51,.275,1,2,7,10,8,13,0
20,.100,0,0,0,2,0,6,0
31,.097,0,1,3,2,1,10,0
182,.291,0,7,23,46,3,54,2
73,.288,0,3,11,18,1,22,0
64,.297,1,2,10,15,2,16,0
420,.350,4,19,47,81,5,126,4
63,.619,0,7,8,20,0,19,3
201,.403,1,13,22,51,0,56,2
249,.494,1,16,40,90,0,65,2
315,.384,2,18,54,75,1,92,3
71,.423,1,6,8,19,0,20,2
250,.304,1,10,30,52,4,73,2
174,.230,0,4,13,33,1,54,2
4,.500,0,1,0,1,0,1,0
288,.590,2,26,55,83,4,80,3
174,.305,0,9,23,44,2,51,2
243,.337,1,16,25,55,11,72,2
40,.275,2,1,2,6,0,13,0
279,.423,5,25,33,83,6,72,0
142,.303,0,2,15,41,7,45,1
125,.360,1,6,12,37,3,33,0
4,.000,0,0,0,0,0,2,0
244,.607,1,16,42,79,6,66,2
102,.324,0,6,7,24,0,28,0
201,.244,0,8,15,41,2,61,0
