Team,SH,BB
CHA,3,16
BIR,0,0
HVL,2,4
TNS,2,31
MTG,0,16
BIR,4,10
BIR,0,38
MTG,10,48
MTG,0,8
MOB,0,32
HVL,9,63
JAX,0,38
MTG,2,8
CHA,0,0
CHA,1,31
JXN,0,4
PNS,0,4
JAX,0,2
CHA,1,39
CHA,0,1
CHA,4,9
JAX,3,28
CHA,13,40
PNS,2,41
BIR,2,84
TNS,0,8
TNS,3,34
JXN,0,18
HVL,4,14
TNS,0,19
JAX,2,16
JAX,1,16
BIR,0,2
MIS,0,84
PNS,7,25
CHA,2,18
CHA,1,1
JAX,0,1
MTG,0,21
MOB,6,65
PNS,3,15
HVL,3,24
MOB,0,2
HVL,0,59
MTG,1,12
JXN,0,1
MOB,7,33
JXN,13,14
MIS,4,12
JAX,7,35
HVL,0,17
MIS,1,44
HVL,1,4
JXN,0,4
BIR,6,51
PNS,2,14
HVL,0,7
MIS,5,18
MOB,2,30
BIR,0,13
JAX,0,1
MIS,1,37
TNS,2,6
TNS,0,7
CHA,7,51
CHA,3,19
PNS,3,10
MOB,0,66
JXN,0,15
CHA,1,25
PNS,11,38
MIS,3,38
PNS,0,0
JAX,0,1
MOB,2,23
JAX,0,14
TNS,9,62
