Nov,Oct,Present,Sep
1,0,0,0
0,0,0,0
0,1,0,0
0,2,5,0
0,27,0,6
0,0,1,0
0,0,0,0
0,9,0,0
0,0,0,0
8,15,0,0
26,58,0,27
0,32,0,7
0,3,22,27
1,12,0,2
1,452,2,0
7,1409,0,778
3:30,26:15, ,20:45
0,0,1,0
0,0,0,0
0,0,0,0
9,39,70,14
0,1,0,0
0,0,0,4
0,0,0,1
1,1,0,0
0,0,3,0
0,0,1,0
0,0,0,0
0,1,0,3
0,1,0,0
0,1,0,2
0,0,0,8
0,1,0,0
0,0,1,0
57,152,4,20
33,31,0,61
4,15,0,32
0,174,0,78
0,0,0,0
0,20,0,1
0,0,1,0
0,2,0,0
0,0,0,0
0,0,0,5
0,1,0,0
0,0,0,0
0,0,12,47
0,0,1,0
0,1,0,0
0,641,2,5
3,1,0,1
133,271,0,147
0,6,0,16
0,10,4,28
0,0,0,0
0,0,0,19
38,44,0,412
