GS,GmSc,TS%,USG%,STL%,TRB%
0,1.2,.333,14.7,0.0,19.0
0,7.5,1.031,12.0,0.0,7.3
0,-1.3,.210,14.2,0.0,3.1
0,4.0,.868,20.1,0.0,0.0
0,1.3,.500,8.7,0.0,5.7
0,5.3,.615,17.7,0.0,2.5
0,4.3,.868,10.9,0.0,4.4
0,-0.7,.000,29.0,0.0,18.0
0,1.7,.500,11.5,0.0,6.7
0,-0.1,.000,6.5,0.0,16.5
0,11.4,.581,12.6,0.0,11.2
0,-1.6,.000,14.5,0.0,11.3
0,0.9,.625,16.5,2.6,3.1
0,-0.9,.000,9.4,0.0,12.1
0,1.0, ,0.0,0.0,6.8
0,0.0, ,0.0,0.0,0.0
0,0.0, ,0.0,0.0,0.0
0,-3.3,.000,16.9,0.0,4.9
0,1.1,.250,8.1,2.3,5.4
0,1.6,.500,9.4,3.4,7.7
0,3.9,.571,26.5,0.0,4.8
0,-2.5,.000,10.6,0.0,3.9
0,-0.7,.000,20.0,0.0,0.0
0,2.1,.500,7.8,0.0,13.2
0,-1.1,.000,15.6,0.0,10.9
