Date,G,Tm,AST%,TRB%,ORtg
1995-01-25,36,MIL,0.0,9.2,228
1994-11-04,1,MIL,0.0,15.1,73
1994-11-29,11,MIL,11.9,15.0,133
1995-01-11,29,MIL,7.3,22.3,143
1994-12-26,22,MIL,0.0,10.8,25
1995-02-08,42,MIL,0.0,16.7, 
1995-02-28,48,MIL,0.0,0.0,122
1995-02-24,47,MIL,0.0,0.0, 
1994-12-18,19,MIL,0.0,29.1,250
1995-01-31,38,MIL,0.0,0.0,122
1995-01-13,30,MIL,0.0,7.8,0
1995-01-05,26,MIL,15.4,7.8,210
1994-12-06,14,MIL,10.3,18.1,223
1995-03-25,57,MIL,0.0,14.6,241
1995-01-19,33,MIL,0.0,21.6,37
1994-11-18,6,MIL,0.0,12.9,35
1995-02-04,41,MIL,0.0,11.6,137
1994-12-21,20,MIL,0.0,12.4,128
1995-04-14,59,MIL,0.0,7.0,88
