TOV%,Opp,BLK%,Date
0.0,DEN,19.6,1986-11-28
0.0,DAL,5.3,1987-01-05
100.0,WSB,9.6,1986-11-16
0.0,PHI,0.0,1986-10-31
 ,BOS,0.0,1987-03-13
0.0,BOS,10.1,1987-01-21
40.0,NJN,11.4,1987-04-18
 ,NYK,0.0,1987-04-04
0.0,SAS,0.0,1987-01-06
0.0,CLE,0.0,1987-04-09
50.0,PHI,0.0,1987-04-17
100.0,PHI,0.0,1986-11-04
 ,NJN,0.0,1987-02-27
100.0,GSW,0.0,1987-02-10
61.5,CLE,5.6,1986-12-30
11.1,WSB,0.0,1987-02-26
 ,NYK,0.0,1987-03-01
0.0,POR,0.0,1986-11-23
0.0,WSB,0.0,1987-04-10
 ,CHI,0.0,1987-04-01
0.0,WSB,0.0,1986-12-03
0.0,BOS,0.0,1987-04-15
100.0,ATL,0.0,1987-03-28
25.0,DEN,4.1,1987-02-14
19.6,NJN,2.9,1987-03-15
0.0,BOS,9.0,1986-12-17
20.5,DET,3.0,1987-04-02
100.0,PHI,0.0,1987-02-03
0.0,MIL,0.0,1987-03-25
0.0,PHI,0.0,1987-01-13
