ORB%,GmSc,ORtg,BLK%,STL%,MP
4.4,3.8,137,6.1,0.0,21:00
0.0,0.7,200,0.0,0.0,1:00
18.0,6.6,130,2.2,0.0,26:00
0.0,-0.9,43,8.2,0.0,16:00
10.6,14.5,154,4.6,2.7,33:00
0.0,-0.7,0,0.0,0.0,3:00
15.7,5.4,124,0.0,3.9,12:00
0.0,-1.4,0,0.0,0.0,9:00
0.0,-1.1,32,0.0,0.0,3:00
0.0,0.7,211,0.0,0.0,4:00
4.2,1.5,93,0.0,0.0,24:00
0.0,4.6,220,7.6,0.0,22:00
0.0,-0.8, ,0.0,0.0,9:00
40.0,6.1,200,0.0,0.0,6:00
0.0,0.7, ,19.5,0.0,3:00
0.0,0.5,0,0.0,6.2,8:00
20.0,4.3,157,0.0,3.3,15:00
0.0,-1.2, ,0.0,0.0,7:00
6.4,7.7,200,0.0,5.9,17:00
34.3,1.7,105,11.4,0.0,5:00
