Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Luke Hochevar,KC,8,3,1,0,0,0,0,1,0,0,0.375,0.375,0.5,0.875
Phil Humber, ,5,2,0,0,0,1,0,1,0,0,0.4,0.4,0.4,0.8
Bud Norris,BAL,5,1,1,0,0,0,1,2,0,0,0.2,0.333,0.4,0.733
Chris Carpenter, ,5,0,0,0,0,0,1,4,0,0,0.0,0.167,0.0,0.167
Justin Verlander,DET,5,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Jason Marquis, ,4,3,0,0,0,0,0,1,0,0,0.75,0.75,0.75,1.5
Ubaldo Jimenez,BAL,4,1,1,0,0,0,0,2,0,0,0.25,0.25,0.5,0.75
Charlie Morton,PIT,4,1,1,0,0,1,2,0,0,0,0.25,0.5,0.5,1.0
Chris Sale,CHI-A,4,1,0,0,1,2,0,3,1,0,0.25,0.25,1.0,1.25
Ryan Vogelsong,SF,4,1,1,0,0,0,0,1,0,0,0.25,0.25,0.5,0.75
Marco Estrada,TOR,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Paul Maholm, ,4,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
Gio Gonzalez,WAS,3,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Zack Greinke,LA,3,2,2,0,0,1,0,0,0,0,0.667,0.667,1.333,2.0
Lucas Harrell, ,3,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
Josh Johnson,SD,3,2,0,0,0,1,0,1,1,0,0.667,0.667,0.667,1.333
Scott Baker,LA,3,1,0,0,0,1,0,2,0,0,0.333,0.333,0.333,0.667
Brian Duensing,MIN,3,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Christian Friedrich,COL,3,1,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Kyle Kendrick,COL,3,1,0,0,0,0,1,0,0,0,0.333,0.5,0.333,0.833
Dallas Keuchel,HOU,3,1,1,0,0,0,0,1,0,0,0.333,0.333,0.667,1.0
Jordan Lyles,COL,3,1,0,1,0,0,0,0,0,0,0.333,0.333,1.0,1.333
Daniel McCutchen,SD,3,1,0,0,0,1,0,0,1,0,0.333,0.333,0.333,0.667
CC Sabathia,NY-A,3,1,1,0,0,1,0,1,0,0,0.333,0.333,0.667,1.0
Ervin Santana,MIN,3,1,0,0,0,0,0,1,1,0,0.333,0.333,0.333,0.667
Rick VandenHurk, ,3,1,0,0,0,1,0,1,1,0,0.333,0.333,0.333,0.667
Jake Westbrook, ,3,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1.0
Barry Zito,OAK,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Josh Beckett, ,3,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0
Clay Buchholz,BOS,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Matt Cain,SF,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aaron Cook, ,3,0,0,0,0,0,1,1,0,0,0.0,0.25,0.0,0.25
Yovani Gallardo,TEX,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Roberto Hernandez,HOU,3,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0
Brian Matusz,BAL,3,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0
Andrew Oliver,BAL,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adam Wainwright,STL,3,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Mitch Talbot, ,2,2,1,0,0,1,0,0,0,0,1.0,1.0,1.5,2.5
Drew Carpenter, ,2,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
