USG%,G,eFG%,Age
18.4,19,.500,30-112
20.6,69,.500,30-215
6.3,45,1.000,30-170
18.8,53,.286,30-184
14.0,14,.000,30-101
14.0,63,.800,30-204
13.3,37,.429,30-148
26.0,55,.500,30-188
11.0,12,.000,30-095
19.8,76,.500,30-228
13.1,18,.500,30-109
19.6,43,.333,30-162
18.7,46,.833,30-171
10.9,40,.000,30-157
9.2,58,.000,30-194
10.5,32,.857,30-140
9.1,31,.500,30-137
29.7,8,.600,30-081
11.8,22,.500,30-118
12.2,44,.444,30-168
11.3,41,1.000,30-159
4.2,26,.000,30-127
23.5,23,.333,30-119
9.9,3,.667,30-071
8.5,15,1.000,30-103
12.9,48,.500,30-175
13.4,72,.667,30-220
21.9,62,.000,30-202
25.3,56,.583,30-190
10.8,5,.000,30-075
12.2,57,.500,30-192
15.1,47,.000,30-173
5.7,13,.333,30-098
13.5,36,.667,30-146
16.1,24,.500,30-121
20.1,50,.429,30-178
4.4,7,.000,30-078
30.5,51,.500,30-180
21.8,20,.000,30-114
14.8,4,.500,30-073
26.3,67,.250,30-211
11.9,21, ,30-116
25.6,75,.500,30-225
16.6,1,.400,30-066
9.8,79,.750,30-233
