Result,HR,SH,SO,CS,3B,SF,RBI
L 2-6 @NYA,0,0,0,0,0,0,0
W 4-3 vs SEA,0,0,0,0,0,0,0
W 10-6 vs KCA,2,0,0,0,0,0,4
W 9-2 vs MIN,0,0,0,0,0,0,0
W 7-3 @BAL,0,0,4,0,0,0,0
L 3-4 @BOS,0,0,0,0,0,0,1
L 2-3 vs DET,2,0,0,0,0,0,2
L 3-4 @CLE,0,0,0,0,0,0,0
W 9-8 vs CHA,0,0,0,0,0,0,1
W 8-3 @MIL,1,0,0,0,0,0,1
W 6-5 @CAL,1,0,0,1,0,0,1
L 2-6 @NYA,0,0,0,0,0,0,0
W 5-1 vs BAL,2,0,0,0,0,0,2
W 4-3 vs KCA,2,0,2,0,0,0,2
W 5-0 @CLE,2,0,1,0,0,0,3
L 3-11 vs OAK,0,0,0,0,0,0,0
W 6-5 vs BAL,0,0,1,0,0,0,1
L 2-7 vs SEA,0,0,0,0,0,0,2
W 8-6 @BOS,0,0,0,0,0,0,1
W 5-1 @SEA,0,0,0,0,0,0,0
W 9-3 @SEA,2,0,1,0,0,0,5
L 4-7 vs CLE,0,0,4,0,0,0,0
L 4-10 @CHA,0,0,4,0,0,0,0
