Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 1,at Augsburg,"L, 41-20",0,2,2,-,-,0,-,-,-,-,-,-,-,-
Sep 8,at Macalester,"L, 17-13",1,1,2,-,-,0,-,-,-,-,-,-,-,-
Sep 15,Trine,"W, 13-10",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 29,at Benedictine,"W, 6-0",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Oct 6,Maranatha Baptist,"W, 55-8",2,1,3,-,-,0,-,-,-,-,-,-,-,-
Oct 13,Concordia Chicago,"L, 47-44",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 20,at Lakeland,"W, 23-16",2,1,3,0.5,1,0.5,-,-,-,-,-,-,-,-
Oct 27,Rockford,"W, 40-3",1,2,3,-,-,0,-,-,1,-,-,-,-,-
Nov 3,at Aurora,"W, 45-31",1,1,2,-,-,0,-,-,-,-,-,-,-,-
Nov 10,Wisconsin Lutheran,"W, 17-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
