AVG,3B,GIDP,SH,POS,OPS,CS
.231,2,3,1,LF,0.718,0
.299,6,4,6,CF,0.896,14
.218,3,4,0,CF,0.661,3
.210,0,4,8,C,0.54,2
.324,6,10,1,RF,0.957,10
.289,0,4,0,RF,0.746,0
.136,0,0,0,3B,0.356,0
.296,0,6,0,C,0.92,0
.322,1,1,1,SS,1.005,0
.247,0,5,4,DH,0.665,4
.233,0,8,0,3B,0.644,0
.276,1,11,1,1B,0.788,1
.214,0,0,0,LF,0.456,0
.255,0,2,0,RF,0.627,0
.211,0,0,0,3B,0.611,0
--,0,0,0,P,0.0,0
.571,0,0,0,2B,1.769,0
.262,1,10,1,1B,0.741,3
.292,1,22,4,OF,0.782,10
.300,5,15,1,2B,0.791,5
.250,5,5,4,OF,0.672,8
.236,0,0,0,OF,0.861,1
.248,4,9,4,2B,0.667,4
.247,4,5,1,RF,0.725,3
.289,6,3,2,2B,0.789,4
.462,0,0,0,LF,1.15,0
.333,1,3,0,1B,0.917,0
.281,2,5,3,DH,0.689,0
.300,3,3,1,SS,0.845,1
.408,7,5,3,2B,1.057,9
.111,0,0,0,C,0.222,0
.336,13,6,6,CF,0.925,19
.259,2,6,0,3B,0.9,0
.208,1,8,1,3B,0.586,3
.474,1,0,1,C,1.629,0
.400,0,0,0,3B,1.1,0
.270,2,18,1,C,0.787,0
.366,2,3,1,1B,1.129,3
.241,0,0,0,3B,0.701,0
.330,3,11,1,1B,0.986,1
.143,0,0,0,SS,0.536,0
.000,0,1,1,OF,0.067,0
.250,0,0,0,C,0.5,0
.225,4,6,8,RF,0.658,5
.287,0,8,3,C,0.72,1
.268,1,2,1,RF,0.707,0
--,0,0,0,P,0.0,0
.200,0,0,0,SS,0.4,0
.000,0,0,0,C,0.0,0
.245,1,1,5,LF,0.646,1
.268,2,7,3,3B,0.811,2
.302,0,4,0,C,0.944,1
.255,0,3,3,2B,0.581,2
.111,0,1,0,3B,0.325,0
.250,0,0,0,2B,0.65,0
.275,9,1,9,CF,0.711,14
.298,0,2,1,SS,0.731,0
.143,0,0,0,SS,0.393,0
.167,0,0,1,3B,0.379,0
.336,3,1,6,CF,0.878,5
--,0,0,0,P,0.0,0
.235,4,11,8,CF,0.634,16
.200,1,2,0,OF,0.821,1
.329,1,2,0,3B,0.891,1
.239,0,2,0,2B,0.634,0
.334,3,12,1,RF,1.02,4
.298,3,21,4,3B,0.836,1
.285,1,9,0,CF,0.918,5
.264,0,11,1,3B,0.742,5
.275,5,3,5,SS,0.767,1
.141,0,0,3,C,0.389,1
.317,2,0,2,2B,0.866,7
.212,1,8,3,SS,0.627,6
.278,3,7,2,3B,0.731,1
.303,1,2,2,SS,0.791,8
.274,3,1,2,SS,0.704,3
.274,3,3,0,2B,0.728,0
.291,5,8,1,2B,0.82,9
.273,0,2,0,RF,0.874,1
.000,0,0,0,C,0.0,0
.600,0,0,0,1B,2.2,0
.275,3,14,9,2B,0.697,11
.294,5,10,4,2B,0.746,10
.667,0,0,0,RF,1.5,0
.256,3,6,1,3B,0.671,4
.311,2,4,2,2B,0.866,0
.195,0,4,3,C,0.562,0
.267,3,10,0,LF,0.801,1
.231,0,4,0,DH,0.662,1
.351,1,11,1,3B,0.996,3
.200,0,0,0,CF,0.829,0
.182,0,1,0,1B,0.572,0
.295,7,3,5,SS,0.819,11
.500,0,0,0,C,1.083,0
.240,4,10,3,SS,0.727,4
.309,3,3,0,DH,0.886,1
.311,0,5,0,3B,0.955,2
.266,0,10,1,1B,0.766,2
.362,0,3,2,C,0.923,2
.286,2,10,1,C,0.887,2
.400,0,0,0,SS,1.0,0
.375,0,0,0,3B,0.875,0
.190,1,0,0,2B,0.701,0
.321,2,6,1,2B,0.89,1
.259,1,6,1,1B,0.762,1
.340,0,3,0,C,0.97,0
.243,5,6,0,OF,0.696,5
.270,2,1,3,OF,0.851,0
.400,0,1,0,C,0.8,0
.252,2,6,1,1B,0.764,3
.259,0,8,1,DH,0.772,3
.300,9,13,2,OF,0.779,7
.282,2,4,2,OF,0.838,2
.259,4,0,3,SS,0.767,6
.279,3,8,2,OF,0.718,14
--,0,0,0,P,0.0,0
.349,0,1,0,2B,0.94,2
.167,0,0,1,DH,0.619,1
.234,3,5,2,3B,0.726,1
.257,4,5,1,CF,0.683,11
.293,0,15,4,1B,0.756,2
.279,0,4,0,CF,0.72,2
.275,3,2,8,2B,0.725,2
.326,1,1,4,OF,0.87,3
