T,I,P,D,J,K
270,Auckland- Waitemata,465,Waitemata and Gulf Ward,432,431
214,Auckland- Henderson-Massey,226,Waitakere Ward,280,274
304,Auckland- Whau,338,Whau Ward, ,35
231,Auckland- Whau,197,Whau Ward,198,216
29,Auckland- Papakura,14,Manurewa-Papakura Ward,29,30
785,Auckland- Howick,754,Howick Ward,714,714
718,Auckland- Kaipatiki,804,North Shore Ward,919,958
31,Auckland- Maungakiekie-Tamaki,66,Maungakiekie-Tamaki Ward,46,50
149,Auckland- Puketapapa,141,Albert-Eden-Roskill Ward,165,159
184,Auckland- Devonport-Takapuna,161,North Shore Ward,155,142
536,Auckland- Devonport-Takapuna,517,North Shore Ward,533,533
594,Auckland- Albert-Eden,516,Albert-Eden-Roskill Ward,484,498
729,Auckland- Albert-Eden,663,Albert-Eden-Roskill Ward,708,650
386,Auckland- Waitemata,331,Waitemata and Gulf Ward,336,328
244,Auckland- Henderson-Massey,324,Waitakere Ward,591,586
463,Auckland- Manurewa,458,Manurewa-Papakura Ward,456,475
457,Auckland- Kaipatiki,476,North Shore Ward,589,606
136,Auckland- Papakura,144,Manurewa-Papakura Ward,127,148
533,Auckland- Waitemata,521,Waitemata and Gulf Ward,1913,1016
116,Auckland- Franklin,121,Franklin Ward,107,98
452,Auckland- Orakei,435,Orakei Ward,458,460
54,Auckland- Puketapapa,55,Albert-Eden-Roskill Ward,63,61
971,Auckland- Otara-Papatoetoe,986,Manukau Ward,885,888
704,Auckland- Howick,614,Howick Ward, , 
342,Auckland- Kaipatiki,328,North Shore Ward,377,349
880,Auckland- Howick,542,Howick Ward,446,511
620,Auckland- Upper Harbour,645,Albany Ward,533,565
415,Auckland- Maungakiekie-Tamaki,427,Maungakiekie-Tamaki Ward,466,446
1389,Auckland- Manurewa,1219,Manurewa-Papakura Ward, ,277
705,Auckland- Howick,704,Howick Ward,708,696
1802,Auckland- Howick,1792,Howick Ward, ,311
229,Auckland- Henderson-Massey,226,Waitakere Ward,238,236
542,Auckland- Manurewa,514,Manurewa-Papakura Ward,370,396
663,Auckland- Albert-Eden,620,Albert-Eden-Roskill Ward,637,639
622,Auckland- Whau,554,Whau Ward,597,596
575,Auckland- Maungakiekie-Tamaki,513,Maungakiekie-Tamaki Ward,449,471
27,Auckland- Manurewa,24,Manurewa-Papakura Ward, , 
259,Auckland- Henderson-Massey,115,Waitakere Ward, , 
1061,Auckland- Orakei,952,Orakei Ward,892,917
385,Auckland- Otara-Papatoetoe,467,Manukau Ward,462,490
193,Auckland- Mangere-Otahuhu,281,Manukau Ward,280,314
202,Auckland- Kaipatiki,266,North Shore Ward,322,360
521,Auckland- Papakura,495,Manurewa-Papakura Ward,504,482
132,Auckland- Kaipatiki,139,North Shore Ward,219,204
335,Auckland- Whau,331,Whau Ward,379,343
350,Auckland- Franklin,307,Franklin Ward,282,293
873,Auckland- Papakura,1017,Manurewa-Papakura Ward,581,785
364,Auckland- Kaipatiki,355,North Shore Ward,343,325
161,Auckland- Manurewa,106,Manurewa-Papakura Ward,14,22
804,Auckland- Albert-Eden,764,Albert-Eden-Roskill Ward,607,639
y_2013,region,y_2009,Ward,y_2003,y_2004
264,Auckland- Franklin,238,Franklin Ward,192,194
825,Auckland- Whau,781,Whau Ward,602,575
