STL%,GmSc,AST%,DRB%,MP,BLK%,Rk
5.7,2.0,0.0,12.1,9:00,0.0,50
0.0,5.9,0.0,30.0,10:00,21.8,28
0.0,-0.9,0.0,10.4,10:00,6.6,64
0.0,-0.6,9.6,11.4,14:00,0.0,24
0.0,0.9,28.6,27.9,4:00,35.8,10
0.0,4.0,7.6,28.8,17:00,3.5,41
0.0,0.0,0.0,0.0,2:00,0.0,33
3.8,1.9,0.0,36.4,14:00,0.0,25
0.0,0.0,0.0,0.0,1:00,0.0,19
2.5,7.4,0.0,25.8,19:00,11.3,2
0.0,-2.7,8.6,0.0,14:00,0.0,53
0.0,1.6,24.2,20.3,11:00,13.0,15
0.0,-0.9,0.0,28.6,7:00,19.6,12
0.0,-0.8,0.0,0.0,2:00,0.0,9
3.7,0.5,0.0,30.0,15:00,0.0,35
0.0,2.3,0.0,22.3,5:00,0.0,31
4.2,3.2,5.5,24.0,25:00,0.0,3
3.6,11.1,18.0,19.4,28:00,2.8,7
0.0,5.7,0.0,9.5,12:00,5.9,45
2.7,7.4,17.3,15.7,20:00,3.9,39
4.3,-0.1,0.0,38.1,12:00,10.5,48
0.0,0.4,0.0,0.0,8:00,0.0,8
0.0,1.2,0.0,14.5,15:00,15.2,56
0.0,4.3,16.0,62.3,11:00,8.2,43
0.0,0.1,0.0,18.2,6:00,0.0,54
0.0,3.7,15.8,27.7,13:00,6.5,11
0.0,0.8,0.0,13.7,9:00,0.0,60
