Row number,Facility Name,CMS Certification Number,Address 1,City,State,Zip Code,Network,Kt/V Adult Hemodialysis Performance Period Rate,Kt/V Adult Hemodialysis Measure Score,National Avg Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,National Avg Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,National Avg Kt/V Pediatric Hemodialysis Measure Score,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score
351,SIERRA VIEW DISTRICT HOSPITAL DIALYSIS CENTER,50261,283 NORTH PEARSON DRIVE,PORTERVILLE,CA,93257,18,80%,1.0,7,Insufficient data,7,Insufficient data,8,1.0,7
352,EL CAMINO DIALYSIS CENTER,50308,2490 GRANT ROAD,MOUNTAIN VIEW,CA,94040,17,91%,5.0,7,85%,7,Insufficient data,8,5.0,7
353,LOMA LINDA UNIVERSITY MEDICAL CENTER,50327,"11234 ANDERSON STREET, ROOM 2812",LOMA LINDA,CA,92354,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
354,KAISER HOSPITAL ESRD PD UNIT,50512,27303 SLEEPY HOLLOW,HAYWARD,CA,94545,17, , ,7,Insufficient data,7,Insufficient data,8, ,7
355,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WEST LOS ANGELES,50561,"6041 CADILLAC AVENUE, SUITE 442",LOS ANGELES,CA,90034,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
356,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM,50609,3460 EAST LA PALMA AVENUE,ANAHEIM,CA,92806,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
357,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WOODLAND HILLS,50677,5601 DE SOTO AVENUE,WOODLAND HILLS,CA,91365,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
358,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE,50686,"10800 MAGNOLIA AVENUE, MODULE 1X",RIVERSIDE,CA,92505,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
359,KAISER FOUNDATION HOSPITAL MEDICAL CTR.- BALDWIN PARK,50723,1813 NHACIENDA BOULEVARD,LA PUENTE,CA,91744,18, , ,7,Insufficient data,7,Insufficient data,8, ,7
360,FMC-HILLCREST DIALYSIS,52500,3960 THIRD AVENUE,SAN DIEGO,CA,92103,18,88%,2.0,7,Insufficient data,7,Insufficient data,8,2.0,7
361,DAVITA-KIDNEY DIALYSIS CARE UNIT,52502,3600 EAST MARTIN LUTHER KING JR BOULEVARD,LYNWOOD,CA,90262,18,96%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
362,DAVITA-MAIN PLACE DIALYSIS CENTER,52503,972 TOWN & COUNTRY ROAD,ORANGE,CA,92868,18,95%,8.0,7,Insufficient data,7,Insufficient data,8,8.0,7
363,FULLERTON DIALYSIS,52505,238 ORANGEFAIR MALL,FULLERTON,CA,92832,18,97%,10.0,7,Insufficient data,7,Insufficient data,8,10.0,7
364,RAI HAIGHT,52507,1800 HAIGHT STREET,SAN FRANCISCO,CA,94117,17,94%,7.0,7,Insufficient data,7,Insufficient data,8,7.0,7
365,FMC-SANTA BARBARA COMMUNITY DIALYSIS CENTER,52513,222 PESETAS LANE,SANTA BARBARA,CA,93110,18,88%,2.0,7,Insufficient data,7,Insufficient data,8,2.0,7
366,SATELLITE DIALYSIS CUPERTINO,52514,10596 NORTH TANTAU AVENUE,CUPERTINO,CA,95014,17,93%,6.0,7,Insufficient data,7,Insufficient data,8,6.0,7
367,LOS ALAMITOS HEMODIALYSIS CENTER,52515,3810 KATELLA AVENUE,LOS ALAMITOS,CA,90720,18,94%,9.0,7,Insufficient data,7,Insufficient data,8,9.0,7
