Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Bryce Brentz,SalGre,316,61,94,19,2,21,69,1,2,23,85,0.297,0.351,0.57,0.92
Will Middlebrooks,3 Teams,334,50,99,21,1,20,72,9,2,18,94,0.296,0.338,0.545,0.883
Ryan Lavarnway,PawPor,316,44,85,18,0,20,61,1,1,28,83,0.269,0.332,0.516,0.848
Miles Head,SalGre,337,63,104,27,1,15,56,5,3,32,72,0.309,0.38,0.528,0.908
Jeremy Hazelbaker,PorSal,332,65,95,20,3,15,43,30,7,41,92,0.286,0.37,0.5,0.87
Chih-Hsien Chiang,Por,236,55,85,29,3,13,55,7,2,22,38,0.36,0.427,0.674,1.101
Christian Vazquez,Gre,285,54,83,21,2,13,61,2,0,28,57,0.291,0.355,0.516,0.871
Brandon Jacobs,Gre,316,54,97,24,1,12,59,21,4,30,90,0.307,0.382,0.503,0.885
Xander Bogaerts,Gre,183,26,48,9,2,12,35,1,2,18,43,0.262,0.33,0.53,0.86
Josh Reddick,Paw,141,29,34,8,1,11,26,3,0,22,28,0.241,0.335,0.546,0.881
Sean Coyle,Gre,281,61,68,16,4,11,55,13,3,48,81,0.242,0.368,0.445,0.813
Jose Garcia,GreLow,315,51,77,13,4,11,43,26,6,26,83,0.244,0.308,0.416,0.724
Reynaldo Rodriguez,3 Teams,295,53,81,30,1,10,55,9,1,28,72,0.275,0.343,0.485,0.828
Lars Anderson,Paw,359,41,98,24,2,9,54,2,0,63,89,0.273,0.383,0.426,0.809
Dan Butler,3 Teams,244,29,64,20,0,8,56,3,0,33,45,0.262,0.362,0.443,0.805
David Chester,GCL,123,16,28,7,0,8,18,0,0,5,32,0.228,0.287,0.48,0.766
Alex Hassan,Por,331,49,90,24,1,7,41,6,2,54,53,0.272,0.383,0.414,0.797
Tim Federowicz,Por,265,38,76,16,0,7,41,1,0,23,51,0.287,0.345,0.426,0.771
Daniel Nava,Paw,321,46,84,17,1,7,36,8,3,52,66,0.262,0.372,0.386,0.758
Seth Schwindenhammer,Low,153,19,28,4,1,7,17,0,0,14,80,0.183,0.25,0.359,0.609
Matt Spring,3 Teams,118,18,30,15,0,6,28,0,1,9,44,0.254,0.318,0.534,0.852
Roberto Reyes,GreGCL,73,10,17,2,0,6,12,1,0,2,23,0.233,0.263,0.507,0.77
Hector Luna,Paw,317,37,86,13,2,6,35,6,1,30,46,0.271,0.336,0.382,0.718
Mark Wagner,PorSal,148,18,35,8,1,6,19,2,0,10,30,0.236,0.29,0.426,0.716
Mitch Dening,Por,202,28,46,7,3,6,28,2,3,21,48,0.228,0.303,0.381,0.684
