RBI,H,G,POS,Team
13,26,22,OF,BEL
1,1,3,1B,DAY
21,62,75,2B,WIS
0,0,3,3B,DAY
6,12,12,OF,CLI
2,8,14,C,GL
52,128,130,OF,QC
61,135,131,SS,KC
51,120,127,OF,PEO
43,82,78,C,CLI
1,10,12,2B,LAN
19,44,51,2B,GL
39,84,97,OF,BEL
37,71,90,SS,LAN
17,50,52,LF,KC
1,3,2,SS,QC
40,106,112,CF,KC
63,135,127,3B,WIS
51,96,103,C,SB
79,95,108,DH,LAN
53,109,112,OF,BUR
80,133,130,LF,SB
16,52,74,C,WIS
7,18,26,SS,DAY
26,53,75,LF,LC
48,105,106,1B,GL
28,70,76,3B,LAN
50,106,104,3B,WIS
68,104,116,1B,DAY
3,7,16,OF,DAY
64,99,123,SS,KC
16,58,64,SS,KC
27,51,77,OF,CR
61,122,128,1B,BG
9,35,40,C,GL
41,83,101,RF,WIS
7,10,11,OF,CLI
6,16,25,SS,QC
49,141,131,SS,QC
61,113,92,OF,FW
5,21,39,2B,BUR
3,8,13,OF,CLI
23,67,59,OF,FW
2,13,28,C,CR
73,125,111,1B,CLI
61,98,109,1B,PEO
18,32,39,C,PEO
23,32,42,3B,GL
11,36,44,C,FW
22,54,78,OF,BUR
22,32,46,CF,QC
0,5,7,OF,PEO
2,12,19,SS,LC
38,116,125,2B,PEO
28,34,39,C,LC
50,118,117,RF,DAY
4,9,9,SS,BG
0,2,5,OF,BG
50,127,117,SS,KC
12,14,18,OF,KC
4,10,17,1B,FW
15,43,46,LF,CLI
1,4,6,C,SB
76,141,135,1B,SB
20,26,40,C,WM
3,4,8,3B,BUR
68,114,102,3B,CLI
30,82,102,OF,BEL
100,118,129,3B,BEL
2,7,7,OF,GL
3,21,24,SS,PEO
8,17,27,C,KC
36,75,73,C,LC
3,2,4,CF,WIS
2,16,24,LF,DAY
44,63,74,LF,BG
7,8,13,C,LC
44,70,65,CF,DAY
33,74,74,C,BG
1,11,6,OF,LC
51,122,125,2B,DAY
26,48,49,SS,BEL
29,57,76,1B,CLI
0,2,6,SS,LAN
0,0,1,P,BEL
49,84,93,C,LC
23,73,68,OF,KC
42,73,92,C,DAY
1,1,2,3B,LC
4,9,18,2B,FW
2,4,4,C,WIS
10,22,23,C,SB
33,71,57,SS,PEO
8,28,44,SS,SB
23,48,52,C,CR
33,84,76,LF,BEL
44,89,106,3B,GL
0,3,7,3B,WM
1,5,14,2B,WM
40,88,94,CF,LAN
30,66,65,CF,SB
2,6,14,C,SB
4,16,21,2B,KC
50,111,102,SS,DAY
50,78,79,OF,CR
38,62,77,OF,BUR
27,70,58,2B,CR
3,15,23,C,KC
4,7,18,OF,QC
2,8,7,C,GL
53,76,75,3B,PEO
27,74,82,1B,KC
6,13,17,OF,PEO
5,9,29,OF,FW
16,55,60,SS,SB
0,0,1,C,KC
68,119,117,OF,CR
16,41,52,OF,QC
15,24,36,OF,LAN
37,86,90,3B,WM
14,30,48,CF,LAN
23,63,64,1B,BUR
61,116,105,OF,KC
3,9,11,SS,BUR
37,76,95,C,BUR
10,25,19,CF,DAY
5,9,20,OF,FW
25,49,48,C,WM
74,111,109,OF,QC
42,59,49,2B,QC
1,1,2,OF,CLI
0,0,1,C,WM
4,22,29,C,DAY
7,13,18,C,GL
15,41,58,C,PEO
1,1,3,CF,DAY
20,32,44,RF,CLI
33,77,70,CF,BUR
10,11,10,1B,QC
67,134,137,LF,GL
5,7,8,CF,SB
1,2,1,3B,LAN
48,127,117,SS,FW
27,63,60,2B,LAN
0,0,1,P,GL
25,39,51,DH,WM
1,3,6,C,BG
23,36,38,1B,PEO
5,10,13,C,CLI
19,18,28,C,LAN
7,10,18,SS,LC
58,135,136,RF,SB
0,3,5,SS,WM
51,91,105,LF,CLI
43,72,66,1B,CLI
30,65,105,SS,BEL
21,40,52,CF,FW
7,20,16,OF,BUR
8,15,31,SS,GL
39,120,134,2B,WM
