Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Toluca,H - UNAM,"Aug 2, 2015",Prim,W 2-1,Started,0,0,0,0,0,2,0,0
Toluca,A - U.A.N.L,"Jul 25, 2015",Prim,W 0-1,Started,0,0,1,1,2,0,0,0
Paraguay,A - Peru,"Jul 3, 2015",Copa Am,L 2-0,Started,0,0,0,0,1,0,0,0
Paraguay,A - Argentina,"Jun 30, 2015",Copa Am,L 6-1,Started,0,0,1,0,1,0,1,0
Paraguay,A - Brazil,"Jun 27, 2015",Copa Am,W (3) 1-(4) 1,Started,0,0,1,1,1,0,0,0
Paraguay,A - Uruguay,"Jun 20, 2015",Copa Am,D 1-1,Started,0,0,0,0,1,1,0,0
Paraguay,H - Jamaica,"Jun 16, 2015",Copa Am,W 1-0,Started,0,0,0,0,0,0,0,0
Paraguay,A - Argentina,"Jun 13, 2015",Copa Am,D 2-2,Started,0,1,1,0,1,0,0,0
Toluca,H - U.A.N.L,"May 10, 2015",Prim,D 0-0,Started,0,0,1,0,0,1,0,0
Toluca,A - America,"May 2, 2015",Prim,L 3-1,Started,0,0,0,0,0,1,1,0
Toluca,H - Tijuana,"Apr 26, 2015",Prim,W 2-0,Started,0,0,1,0,2,0,0,0
Toluca,A - León,"Apr 18, 2015",Prim,D 1-1,Started,0,0,1,0,0,0,0,0
Toluca,H - Atlas,"Apr 12, 2015",Prim,D 0-0,Started,0,0,2,1,0,1,0,0
Toluca,A - Puebla,"Apr 4, 2015",Prim,W 0-1,Started,0,0,0,0,0,0,0,0
Toluca,A - Guadalajara,"Mar 22, 2015",Prim,L 1-0,Started,0,0,0,0,1,1,1,0
Toluca,H - Queretaro,"Mar 15, 2015",Prim,W 1-0,Started,0,0,1,1,1,0,0,0
Toluca,A - Monterrey,"Mar 7, 2015",Prim,L 3-2,Started,1,0,1,1,0,0,1,0
Toluca,H - Cruz Azul,"Mar 1, 2015",Prim,W 1-0,Started,1,0,2,2,0,0,0,0
Toluca,A - Veracruz,"Feb 20, 2015",Prim,L 3-0,Started,0,0,0,0,2,3,1,0
Toluca,H - Santos,"Feb 15, 2015",Prim,D 2-2,Started,1,0,1,1,1,0,0,0
Toluca,A - Pachuca,"Feb 7, 2015",Prim,D 1-1,Started,0,0,2,0,0,0,0,0
Toluca,H - U.de.G.,"Feb 1, 2015",Prim,W 3-1,Started,0,1,1,1,0,1,0,0
Toluca,A - UNAM,"Jan 25, 2015",Prim,L 3-2,Started,0,0,0,0,1,1,0,0
Toluca,H - Chiapas,"Jan 18, 2015",Prim,W 3-0,Started,0,0,0,0,0,0,0,0
Toluca,A - Morelia,"Jan 9, 2015",Prim,D 0-0,Started,0,0,1,0,0,0,0,0
