Name,POS,GP,PGP,GLS,AST,PTS,+/-,PIM,S,S%,DEF,Salary
2013-14 Pittsburgh Penguins,RW,33,82,2,0,2,1,15,37,5.41,50,"$165,000"
2012-13 Colorado Avalanche,RW,37,48,5,4,9,6,21,43,11.63,42,"$847,196"
2011-12 Colorado Avalanche,RW,58,82,7,7,14,-10,51,65,10.77,43,"$689,950"
2010-11 Minnesota Wild,RW,63,82,9,7,16,-6,19,74,12.16,50,"$1,395,282"
2009-10 Minnesota Wild,RW,42,82,9,5,14,-9,16,58,15.52,43,"$1,130,388"
2009-10 Boston Bruins,RW,49,82,9,6,15,-11,18,71,12.68,43,"$1,004,942"
2009-10 Minnesota Wild,RW,49,82,9,6,15,-11,18,71,12.68,43,"$1,004,942"
2008-09 Boston Bruins,RW,68,82,21,21,42,5,56,129,16.28,56,"$3,428,938"
2007-08 Boston Bruins,RW,73,82,22,17,39,6,29,147,14.97,63,"$3,752,978"
2006-07 Calgary Flames,RW,40,82,4,13,17,7,37,69,5.8,60,"$843,967"
2006-07 Calgary Flames,RW,50,82,5,14,19,1,62,93,5.38,52,"$720,032"
2006-07 Boston Bruins,RW,50,82,5,14,19,1,62,93,5.38,52,"$720,032"
2005-06 Calgary Flames,RW,77,82,20,11,31,-10,64,143,13.99,55,"$2,907,275"
2003-04 Calgary Flames,RW,70,82,6,11,17,-12,51,78,7.7,49,"$710,394"
2002-03 Calgary Flames,RW,23,82,4,2,6,-3,8,29,13.8,50,"$603,896"
