Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Zach Kapstein,Low,6,0,1,1,0,0,1,0,0,0,2,0.167,0.167,0.333,0.5
Luis Alejandro Basabe,DSL,68,5,9,2,1,0,13,3,1,16,23,0.132,0.289,0.191,0.48
Mike Meyers,LowGCL,44,4,8,3,0,0,7,0,2,3,16,0.182,0.229,0.25,0.479
Nick Moore,GreLow,123,7,22,3,0,1,21,3,2,12,62,0.179,0.246,0.228,0.474
Jose Colorado,3 Teams,68,4,13,3,0,0,11,2,0,5,23,0.191,0.237,0.235,0.472
Kolbrin Vitek,PorGCL,96,7,18,3,1,0,14,2,0,4,28,0.188,0.231,0.24,0.47
Alberto Rosario,PawPor,62,6,12,1,0,0,8,0,0,3,11,0.194,0.25,0.21,0.46
Stephen Drew,Por,10,0,1,1,0,0,3,0,0,2,1,0.1,0.231,0.2,0.431
Raymel Flores,GCL,60,2,7,2,1,0,13,1,2,7,22,0.117,0.233,0.183,0.416
Iseha Conklin,GCL,43,7,6,0,0,0,5,0,0,6,13,0.14,0.269,0.14,0.409
Oscar Bartomolde,DSL,35,3,4,0,1,0,4,0,0,4,10,0.114,0.205,0.171,0.377
Jose Garcia,Sal,51,0,6,2,1,0,10,0,2,4,12,0.118,0.175,0.196,0.372
Luis Yovera,DSL,15,0,2,0,0,0,0,1,1,1,6,0.133,0.235,0.133,0.369
David Sopilka,Low,53,2,7,1,0,0,3,0,0,4,17,0.132,0.2,0.151,0.351
David Ross,PawPor,10,1,1,1,0,0,2,0,0,0,3,0.1,0.1,0.2,0.3
Gerardo Carrizalez,DSL,18,3,1,0,0,0,1,0,0,4,4,0.056,0.227,0.056,0.283
Dreily Guerrero,Gre,75,6,8,0,0,0,7,1,0,6,29,0.107,0.169,0.107,0.275
Leonel Escobar,3 Teams,22,0,2,0,0,0,2,0,0,2,7,0.091,0.167,0.091,0.258
Miguel Rodriguez,Low,20,0,2,1,0,0,5,0,0,0,8,0.1,0.1,0.15,0.25
Vladimir Frias,Sal,12,0,1,0,0,0,0,1,1,1,3,0.083,0.154,0.083,0.237
Rafael Oliveras,GCLDSL,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125
Quintin Berry,Paw,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Beau Bishop,GCL,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
