DRB%,GmSc,BLK%,GS,Tm,Rk,MP
14.8,1.3,13.5,0,CHI,66,9:00
9.3,7.1,14.5,0,CHI,22,12:00
21.2,5.3,2.7,0,CHI,51,21:00
5.8,6.3,0.0,0,CHI,45,17:00
17.6,9.0,4.6,0,CHI,9,14:00
11.3,-0.8,7.0,0,CHI,39,9:00
44.7,4.7,0.0,0,CHI,15,15:00
0.0,0.0,0.0,0,CHI,33,2:00
72.7,0.3,0.0,0,CHI,32,2:00
0.0,0.0,0.0,0,CHI,55,9:00
0.0,-3.8,0.0,0,CHI,19,4:00
9.7,4.2,4.6,0,CHI,64,17:00
25.2,1.5,5.5,0,CHI,67,12:00
23.1,0.8,3.6,0,CHI,63,16:00
40.6,5.0,0.0,0,CHI,2,11:00
5.2,4.7,0.0,0,CHI,57,17:00
26.1,-1.9,0.0,0,CHI,11,4:00
18.0,1.3,0.0,0,CHI,58,14:00
52.5,10.1,3.8,0,CHI,59,20:00
9.3,1.4,5.7,0,CHI,72,14:00
26.6,10.5,2.8,0,CHI,46,21:00
36.0,0.9,0.0,0,CHI,31,13:00
13.0,-1.6,0.0,0,CHI,24,8:00
39.1,7.7,6.8,0,CHI,20,16:00
25.6,4.8,0.0,0,CHI,44,15:00
20.7,3.2,0.0,0,CHI,10,8:00
9.9,5.2,12.0,0,CHI,36,11:00
23.5,1.5,6.0,0,CHI,35,20:00
45.3,4.3,0.0,0,CHI,17,6:00
24.8,0.1,7.2,0,CHI,18,9:00
20.2,4.6,18.5,0,CHI,3,14:00
14.9,1.1,0.0,0,CHI,69,7:00
