Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 29,Concord,"L, 63-10",0,1,1,-,-,0.0,-,-,-,-,-,-,-,-
Sep 5,at Morehead State,"L, 61-10",0,3,3,-,-,0.0,-,-,-,-,-,-,-,-
Sep 12,at Lincoln (Pa.),"L, 29-8",1,0,1,-,-,0.0,-,-,-,-,-,-,-,-
Sep 19,at Brevard,"L, 42-7",2,0,2,-,-,0.0,-,-,-,-,-,-,-,-
Sep 26,Ferrum College,"L, 28-21",0,2,2,-,-,0.0,-,-,-,-,-,-,-,-
Oct 2,at Guilford,"L, 48-6",-,-,0,-,-,0.0,-,-,-,-,-,-,-,-
Oct 17,George Mason,"W, 51-12",0,1,1,-,-,0.0,-,-,-,-,-,-,-,-
Oct 24,at Gardner-Webb,"L, 65-0",2,1,3,-,-,0.0,-,-,-,-,-,-,-,-
Oct 31,Radford,"W, 40-20",0,1,1,-,-,0.0,-,-,1,-,-,-,-,-
Nov 7,at Webber Int'l,"L, 24-17",1,1,2,0.5,3,0.5,-,-,-,-,-,-,-,-
Nov 14,at Apprentice School,"W, 14-10",1,0,1,-,-,0.0,-,-,-,-,-,-,-,-
