R,Opp,Game Date,BB,Result,HR
2,OAK,2000-08-16,0,L 6-7 @OAK,2
1,SEA,2000-08-18,4,W 9-8 vs SEA,0
2,CIN,2000-06-10,0,W 6-5 vs CIN,2
0,CHA,2000-06-12,0,L 7-8 vs CHA,0
2,ANA,2000-08-06,0,W 5-2 vs ANA,2
1,KCA,2000-09-23,0,W 11-1 @KCA,0
0,NYA,2000-05-19,0,L 7-11 vs NYA,0
2,BAL,2000-09-03,0,W 12-11 vs BAL,0
2,OAK,2000-04-19,0,L 5-10 vs OAK,2
2,TOR,2000-07-04,1,W 9-4 vs TOR,2
1,OAK,2000-04-10,0,W 9-4 @OAK,0
2,BOS,2000-09-21,0,W 8-5 @BOS,0
2,NYA,2000-09-15,0,W 11-1 @NYA,0
0,TBA,2000-04-09,1,W 17-4 @TBA,0
2,KCA,2000-07-19,0,L 5-10 vs KCA,2
2,KCA,2000-05-11,0,W 16-0 vs KCA,0
0,SEA,2000-04-26,4,W 5-3 @SEA,0
2,HOU,2000-07-18,0,W 8-2 vs HOU,2
1,KCA,2000-09-23,0,W 11-1 @KCA,0
1,BAL,2000-07-29,0,W 14-3 @BAL,0
2,OAK,2000-08-23,0,W 7-5 vs OAK,1
2,CHA,2000-06-12,1,L 7-8 vs CHA,2
0,KCA,2000-07-20,0,L 6-10 vs KCA,0
0,HOU,2000-07-18,4,W 8-2 vs HOU,0
2,PIT,2000-07-14,0,W 9-3 vs PIT,0
1,BOS,2000-09-21,4,L 8-9 @BOS,0
2,MIL,2000-06-05,0,W 8-4 @MIL,2
1,ANA,2000-08-04,0,W 11-10 vs ANA,1
1,SEA,2000-08-20,0,W 12-4 vs SEA,0
3,ANA,2000-08-27,3,L 9-10 @ANA,1
2,HOU,2000-07-18,0,W 8-2 vs HOU,0
1,TEX,2000-04-15,0,L 4-6 vs TEX,1
3,TOR,2000-05-07,1,W 10-8 @TOR,1
0,SLN,2000-06-04,0,W 3-2 @SLN,0
3,BAL,2000-07-29,2,W 14-3 @BAL,2
2,CHA,2000-09-09,0,W 9-3 vs CHA,0
3,CIN,2000-07-08,0,L 5-14 @CIN,2
3,BAL,2000-07-29,0,W 14-3 @BAL,0
