Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
J Werth,POT,RF,.556,6,18,6,10,1,0,2,8,2,0,0,0,0,0,0,.600,.944,1.544
W Betemit,FRE,3B,.294,4,17,1,5,0,0,0,4,0,4,0,0,0,0,0,.294,.294,0.588
A Baker,FRE,1B,.113,14,53,3,6,4,0,1,5,3,16,0,0,0,0,2,.161,.245,0.406
S Pearce,FRE,1B,.167,2,6,0,1,0,0,0,0,1,1,0,0,0,0,1,.375,.167,0.542
V Frias,SAL,SS,.192,9,26,1,5,0,0,0,0,2,5,1,1,2,0,2,.250,.192,0.442
S McGill,LYN,C,.269,56,186,20,50,16,2,1,19,16,26,2,0,0,1,6,.341,.392,0.734
S Welch,SAL,3B,.292,75,267,48,78,19,0,10,46,45,65,3,2,0,3,1,.409,.476,0.885
W Ramos,POT,C,.000,3,10,0,0,0,0,0,0,1,1,0,0,0,0,0,.167,.000,0.167
A de San Miguel,FRE,C,.240,65,221,31,53,10,0,10,33,34,57,3,1,1,0,4,.366,.421,0.787
R Flaherty,FRE,2B,.286,2,7,1,2,0,0,1,2,0,3,0,0,0,0,0,.286,.714,1.0
R Zimmerman,POT,3B,.000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0.0
D Raben,WIL,1B,.272,71,254,33,69,12,1,12,41,32,51,2,2,0,3,5,.367,.469,0.836
Z Chavez,FRE,C,.295,75,285,40,84,20,0,7,49,46,56,0,0,0,2,7,.390,.439,0.829
J Farrell,WS,3B,.253,120,431,70,109,35,1,11,74,44,113,2,2,1,0,11,.346,.415,0.761
E Landoni,LYN,2B,.276,65,228,28,63,13,3,2,19,15,25,0,2,1,1,9,.328,.386,0.714
A Heisler,WS,CF,.271,59,218,35,59,8,6,3,30,30,50,11,7,3,2,1,.366,.404,0.77
L De La Cruz,LYN,C,.202,24,84,7,17,2,0,0,3,6,13,0,0,3,0,3,.256,.226,0.482
A Sanchez,POT,2B,.241,120,428,43,103,14,4,1,42,17,61,8,4,10,2,11,.278,.299,0.577
R Martin,POT,P,.000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,0.0
W Rivera,LYN,P,.000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,0.0
D Cid,FRE,OF,.252,41,131,26,33,4,0,5,23,14,31,10,6,1,0,2,.338,.397,0.735
Y Barroso,WS,RF,.244,15,45,9,11,3,1,0,4,2,14,1,0,1,0,1,.320,.356,0.676
B Dupra,POT,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
B Greenwell,CAR,OF,.246,65,244,35,60,17,2,4,42,24,35,5,1,0,2,4,.319,.381,0.7
K Keyes,POT,1B,.233,117,437,54,102,24,0,13,79,34,132,9,4,1,5,15,.293,.378,0.671
N Striz,SAL,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
F Soriano,POT,3B,.209,72,206,40,43,8,6,1,20,46,52,8,6,4,0,5,.358,.320,0.679
J Toole,CAR,3B,.211,43,147,10,31,4,0,0,19,7,17,3,2,5,3,3,.242,.238,0.48
A Nunez,LYN,C,.133,18,45,3,6,2,0,1,4,3,14,0,0,0,0,2,.188,.244,0.432
L Escobar,SAL,C,.167,4,12,0,2,0,0,0,0,0,4,0,0,1,0,3,.167,.167,0.333
E Garcia,MB,2B,.263,86,308,30,81,16,0,2,34,22,48,3,2,2,6,7,.307,.334,0.641
F Sanchez,SAL,OF,.216,32,116,21,25,2,0,1,9,5,43,17,5,3,1,0,.258,.259,0.517
T Adair,FRE,2B,.274,73,270,37,74,14,2,3,23,21,30,9,1,2,1,4,.328,.374,0.702
W Beckwith,LYN,1B,.229,53,188,26,43,9,0,9,30,27,52,6,3,0,4,7,.341,.420,0.761
C Blair,SAL,C,.250,41,124,21,31,9,2,4,13,23,39,2,1,0,0,4,.372,.452,0.823
R Bolinger,MB,OF,.261,72,272,33,71,17,3,4,25,17,68,5,4,3,3,6,.308,.390,0.698
B Burns,POT,CF,.312,91,330,70,103,8,9,0,29,52,37,54,5,6,2,5,.422,.391,0.813
Z Cone,MB,RF,.308,7,26,3,8,2,0,0,0,1,9,1,0,0,0,0,.333,.385,0.718
