Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),Number of genes,5S rRNA count,16S rRNA count,23S rRNA count,tRNA count,% AT
 , , , , , , , , , , , 
1.0,Mycoplasma mycoides subsp. capri str. GM12,BTMM,19245.0,1.0,"1,089,202",832,2.0,2.0,2.0,30.0,76.1
2.0,Mycoplasma crocodyli MP145,BTMM,29021.0,1.0,"934,379",689,2.0,2.0,2.0,34.0,73.0
3.0,Candidatus Phytoplasma australiense,BTMA,29469.0,1.0,"879,959",839,2.0,2.0,2.0,35.0,72.6
4.0,Mycoplasma genitalium G37,BFirm MM,97.0,1.0,"580,076",476,1.0,1.0,1.0,36.0,68.3
5.0,Mycoplasma pulmonis UAB CTIP,BFirm MM,100.0,1.0,"963,879",782,2.0,1.0,1.0,29.0,73.4
6.0,Ureaplasma parvum serovar 3 str. ATCC 700970,BFirm MM,101.0,1.0,"751,719",611,2.0,2.0,2.0,30.0,74.5
7.0,Mycoplasma penetrans HF-2,BFirm MM,176.0,1.0,"1,358,633","1,037",1.0,1.0,1.0,30.0,74.3
8.0,Mycoplasma arthritidis 158L3-1,BFirm MM,1422.0,1.0,"820,453",631,1.0,1.0,1.0,33.0,69.3
9.0,Mycoplasma mycoides subsp. mycoides SC str. PG1,BFirm MM,10616.0,1.0,"1,211,703","1,016",2.0,2.0,2.0,30.0,76.0
10.0,Mycoplasma hyopneumoniae 7448,BFirm MM,10639.0,1.0,"920,079",663,1.0,1.0,1.0,30.0,71.5
11.0,Mycoplasma synoviae 53,BFirm MM,10676.0,1.0,"799,476",672,3.0,2.0,2.0,34.0,71.5
12.0,Mycoplasma mobile 163K,BFirm MM,10697.0,1.0,"777,079",635,1.0,1.0,1.0,28.0,75.1
13.0,Mycoplasma hyopneumoniae 232,BFirm MM,13120.0,1.0,"892,758",691,1.0,1.0,1.0,30.0,71.4
14.0,Mycoplasma agalactiae PG2,BFirm MM,16095.0,1.0,"877,438",751,2.0,2.0,2.0,34.0,70.3
