Team,Players,G,R,AB,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF
Atlanta Braves,39,162,691,5460,1411,195,22,141,640,59,485,665,67,32,87,34
Chicago Cubs,41,163,720,5530,1400,215,40,142,671,30,559,928,58,36,72,46
Cincinnati Reds,36,163,798,5634,1558,224,42,171,750,79,474,1042,63,46,100,47
Houston Astros,37,162,676,5348,1284,208,40,104,618,101,699,972,70,41,68,40
Los Angeles Dodgers,38,162,645,5532,1405,185,52,97,584,80,484,823,63,21,96,33
Montreal Expos,42,162,582,5419,1300,202,33,125,542,52,529,962,51,38,57,30
New York Mets,35,162,632,5427,1311,184,41,109,598,66,527,1089,58,33,82,33
Philadelphia Phillies,34,162,645,5408,1304,227,35,137,593,73,549,1130,60,26,61,36
Pittsburgh Pirates,35,162,725,5626,1557,220,52,119,651,74,454,944,86,46,73,36
San Diego Padres,42,162,468,5357,1203,180,42,99,431,45,423,1143,40,35,56,20
San Francisco Giants,37,162,713,5474,1325,187,28,136,657,71,711,1054,82,66,82,42
St. Louis Cardinals,42,162,595,5536,1403,228,44,90,561,87,503,876,70,23,57,33
