MP,Date,ORB%
38:00,1995-01-04,8.6
19:00,1995-02-21,0.0
1:00,1995-03-13,0.0
1:00,1994-11-11,0.0
11:00,1995-04-07,0.0
5:00,1994-12-02,0.0
3:00,1995-03-10,0.0
6:00,1995-03-17,17.4
31:00,1994-12-10,6.9
25:00,1995-02-14,0.0
11:00,1995-01-10,0.0
17:00,1995-01-09,0.0
26:00,1995-04-06,11.3
23:00,1995-02-15,0.0
25:00,1995-01-06,8.3
1:00,1995-04-05,0.0
2:00,1995-03-14,0.0
25:00,1995-04-13,11.0
23:00,1995-04-09,0.0
20:00,1995-04-17,0.0
31:00,1994-12-28,3.7
3:00,1995-03-27,0.0
7:00,1995-02-01,0.0
22:00,1995-04-12,0.0
39:00,1995-01-03,0.0
31:00,1995-02-08,3.5
11:00,1995-02-17,10.9
23:00,1995-01-19,5.1
19:00,1994-12-13,0.0
10:00,1994-11-12,0.0
22:00,1994-12-19,0.0
16:00,1995-01-13,0.0
31:00,1994-12-12,6.1
