SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1985 - 1986,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,3,Bronze game win
1986 - 1987,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,8,Quarterfinal loss
1987 - 1988,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,5,Quarterfinal loss
1988 - 1989,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,3,Bronze game win
1989 - 1990,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,5,Quarterfinal loss
1990 - 1991,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,5,Quarterfinal loss
1991 - 1992,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,7,Quarterfinal loss
1992 - 1993,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,3,Bronze game win
1993 - 1994,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,6,Quarterfinal loss
1994 - 1995,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,10,Did not make playoffs
1995 - 1996,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,2,Final loss
1996 - 1997,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,2,Final loss
1997 - 1998,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,15,Did not make playoffs
1998 - 1999,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,4,Bronze game loss
1999 - 2000,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,4,Bronze game loss
2000 - 2001,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,1,Champion
2001 - 2002,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,2,Final loss
2002 - 2003,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,15,Did not make playoffs
2003 - 2004,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,16,Did not make playoffs
2004 - 2005,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,18,Did not make playoffs
2005 - 2006,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,1,Champion
2006 - 2007,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,10,Did not make playoffs
2007 - 2008,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,5,Quarterfinal loss
2008 - 2009,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,9,Did not make playoffs
2009 - 2010,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,9,Did not make playoffs
2010 - 2011,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,8,Quarterfinal loss
2011 - 2012,Värmland 1,TV-Pucken,-,-,-,-,-,-,-,-,-,20,Did not make playoffs
2012 - 2013,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,7,Quarterfinal loss
2013 - 2014,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,5,Quarterfinal loss
2014 - 2015,Värmland,TV-Pucken,-,-,-,-,-,-,-,-,-,1,Champion
