Type,#,Shipbuilder,Location,Hull #,FY,Keel Laid,Launched,Delivered,Days on Ways,Days in Water,Total Days,Disposition
LST,401.0,Beth-Fairfield,Baltimore MD,2173.0,1942.0,17-Aug-42,16-Oct-42,30-Nov-42,60.0,45.0,105.0,"To Britain, scrapped 1947"
LST,402.0,Beth-Fairfield,Baltimore MD,2174.0,1942.0,21-Aug-42,9-Oct-42,9-Dec-42,49.0,61.0,110.0,"To Britain, scrapped 1948"
LST,403.0,Beth-Fairfield,Baltimore MD,2175.0,1942.0,23-Aug-42,24-Oct-42,8-Dec-42,62.0,45.0,107.0,"To Britain, scrapped 1947"
LST,404.0,Beth-Fairfield,Baltimore MD,2176.0,1942.0,27-Aug-42,28-Oct-42,16-Dec-42,62.0,49.0,111.0,"To Britain, damaged off the Isle of Wight 1944 and scrapped"
LST,405.0,Beth-Fairfield,Baltimore MD,2177.0,1942.0,30-Aug-42,31-Oct-42,28-Dec-42,62.0,58.0,120.0,"To Britain, in collision 1944, CTL"
LST,406.0,Beth-Fairfield,Baltimore MD,2178.0,1942.0,1-Sep-42,28-Oct-42,26-Dec-42,57.0,59.0,116.0,"To Britain, to China 1949 as Chung 116"
LST,407.0,Beth-Fairfield,Baltimore MD,2179.0,1942.0,2-Sep-42,5-Nov-42,31-Dec-42,64.0,56.0,120.0,"To Britain, damaged off Baia 1944 and scrapped"
LST,408.0,Beth-Fairfield,Baltimore MD,2180.0,1942.0,9-Sep-42,31-Oct-42,23-Dec-42,52.0,53.0,105.0,"To Britain, scrapped 1947"
LST,409.0,Beth-Fairfield,Baltimore MD,2181.0,1942.0,9-Sep-42,15-Nov-42,6-Jan-43,67.0,52.0,119.0,"To Britain, to Greece 1946, scrapped 1972"
LST,410.0,Beth-Fairfield,Baltimore MD,2182.0,1942.0,13-Sep-42,15-Nov-42,14-Jan-43,63.0,60.0,123.0,"To Britain, scrapped 1947"
LST,411.0,Beth-Fairfield,Baltimore MD,2183.0,1942.0,21-Sep-42,9-Nov-42,31-Dec-42,49.0,52.0,101.0,"To Britain, mined and lost off Sardinia 1943"
LST,412.0,Beth-Fairfield,Baltimore MD,2184.0,1942.0,24-Sep-42,16-Nov-42,26-Jan-43,53.0,71.0,14.0,"To Britain, scrapped 1947"
LST,413.0,Beth-Fairfield,Baltimore MD,2185.0,1942.0,10-Oct-42,10-Nov-42,5-Jan-43,31.0,56.0,87.0,"To Britain, scrapped 1948"
LST,414.0,Beth-Fairfield,Baltimore MD,2186.0,1942.0,18-Oct-42,21-Nov-42,19-Jan-43,34.0,59.0,93.0,"To Britain, torpedoed and lost off Tunisia 1943"
LST,415.0,Beth-Fairfield,Baltimore MD,2187.0,1942.0,29-Oct-42,21-Nov-42,19-Jan-43,23.0,59.0,82.0,"To Britain, torpedoed in the Thames Estuary 1943, scrapped"
LST,416.0,Beth-Fairfield,Baltimore MD,2188.0,1942.0,25-Oct-42,30-Nov-42,3-Feb-43,36.0,65.0,101.0,"To Britain, sold 1946"
LST,417.0,Beth-Fairfield,Baltimore MD,2189.0,1942.0,29-Oct-42,24-Nov-42,29-Jan-43,26.0,66.0,92.0,"To Britain, scrapped 1947"
LST,418.0,Beth-Fairfield,Baltimore MD,2190.0,1942.0,2-Nov-42,30-Nov-42,29-Jan-43,28.0,60.0,88.0,"To Britain, torpedoed and lost off Anzio 1944"
LST,419.0,Beth-Fairfield,Baltimore MD,2191.0,1942.0,1-Nov-42,30-Nov-42,8-Feb-43,29.0,70.0,99.0,"To Britain, scrapped 1947"
LST,420.0,Beth-Fairfield,Baltimore MD,2192.0,1942.0,6-Nov-42,5-Dec-42,15-Feb-43,29.0,72.0,101.0,"To Britain, mined and lost off Ostend 1944"
LST,421.0,Beth-Fairfield,Baltimore MD,2193.0,1942.0,11-Nov-42,5-Dec-42,26-Jan-43,24.0,52.0,76.0,"To Britain, sold 1947"
LST,422.0,Beth-Fairfield,Baltimore MD,2194.0,1942.0,12-Nov-42,10-Dec-42,4-Feb-43,28.0,56.0,84.0,"To Britain, mined and lost off Anzio 1944"
LST,423.0,Beth-Fairfield,Baltimore MD,2195.0,1942.0,1-Dec-42,14-Jan-43,24-Feb-43,45.0,41.0,86.0,"To Britain, scrapped 1947"
LST,424.0,Beth-Fairfield,Baltimore MD,2196.0,1942.0,17-Nov-42,12-Dec-42,1-Feb-43,25.0,51.0,76.0,"To Britain, scrapped 1947"
LST,425.0,Beth-Fairfield,Baltimore MD,2197.0,1942.0,16-Nov-42,12-Dec-42,10-Feb-43,26.0,60.0,86.0,"To Britain, scrapped 1947"
LST,426.0,Beth-Fairfield,Baltimore MD,2198.0,1942.0,16-Nov-42,11-Dec-42,16-Feb-43,25.0,67.0,92.0,"To Britain, scrapped 1947"
LST,427.0,Beth-Fairfield,Baltimore MD,2199.0,1942.0,22-Nov-42,19-Dec-42,16-Feb-43,27.0,59.0,86.0,"To Britain, scrapped 1947"
