AVG,SB,Player,Team,SF,2B
0.5,0,E Farris,NBR,0,0
0.284,24,D Fields,ERI,4,27
0.268,1,J Murphy,TRN,2,10
0.328,8,C Chen,AKR,2,10
0.269,10,A Loewen,NH,0,22
0.245,3,R Hague,HAR,2,19
0.325,20,B Burns,HAR,0,4
0.311,5,X Bogaerts,POR,2,12
0.0,0,M Reynolds,BIN,0,0
0.25,12,D Gibson,POR,2,16
0.224,3,J Robbins,ERI,0,26
0.252,0,J Van Ostrand,HAR,0,19
0.291,5,B Britton,BOW,2,12
0.253,12,A Burns,NH,3,19
0.316,5,J Beresford,NBR,3,5
0.253,2,J Head,HAR,0,21
0.245,13,J Parker,RIC,0,18
0.295,0,K Knudson,NBR,1,5
0.273,0,E Zambrano,RIC,0,0
0.163,0,J Talley,NH,0,5
0.177,10,G Ngoepe,ALT,3,10
0.268,1,R Bermudez,POR,1,1
0.235,0,J Suomi,REA,0,0
0.284,7,E Rosario,NBR,2,19
0.22,5,C Paulino,ALT,3,9
0.237,23,S Wilkerson,POR,6,23
0.256,1,A Susac,RIC,2,17
0.273,0,T Joseph,REA,0,1
0.326,24,C Puello,BIN,2,21
0.2,0,M Hernandez,ERI,0,1
0.28,7,N Romero,BOW,2,21
0.272,5,J Rodriguez,BIN,6,30
0.257,4,T Austin,TRN,3,17
0.231,0,C Smith,NBR,3,8
0.217,0,H Garcia,NBR,0,0
0.272,18,J Pirela,TRN,5,27
0.26,1,B Ward,BOW,2,9
0.267,4,J Johnson,HAR,1,7
0.225,12,E Duran,REA,5,19
0.265,1,T Manzella,NH,1,5
0.262,5,K Nolan,NH,4,24
0.254,18,D Maggi,ALT,5,14
0.296,8,G Cecchini,POR,2,14
0.246,0,T Taijeron,BIN,2,18
0.268,31,D Ceciliani,BIN,4,17
0.366,1,G Jacobo,NH,0,8
0.231,5,R Rodriguez,NBR,7,33
0.165,0,M Sobolewski,NBR,2,4
0.167,0,N Spears,AKR,0,1
0.295,0,A Monsalve,AKR,0,4
0.299,0,C Wallace,AKR,2,5
0.21,3,R Schimpf,NH,1,21
0.262,0,O Tejeda,ALT,0,2
0.276,0,J Linares,POR,2,24
0.213,0,A Zazueta,NH,0,8
0.308,0,J Pinto,NBR,0,23
0.228,1,C Stevenson,TRN,2,10
0.2,0,M Skole,HAR,0,1
0.127,1,C Pettit,BOW,1,7
0.192,4,K Brown,ALT,1,3
0.24,11,E Adrianza,RIC,2,12
0.198,3,K Tomlinson,RIC,0,5
0.26,17,P Hissey,POR,3,15
0.264,0,K Dugan,REA,1,12
0.218,4,A Castillo,TRN,1,4
0.226,1,J Gil,TRN,0,2
0.242,0,C Walker,BOW,0,5
0.224,5,D Hood,HAR,5,18
0.169,3,A Morales,NBR,3,6
0.257,0,T Mendonca,REA,0,8
0.193,1,C Jones,ERI,0,3
0.143,0,A Gonzalez,REA,0,1
0.25,0,G Sanchez,TRN,1,6
0.267,6,R Lollis,RIC,4,24
0.2,0,S Drew,POR,1,2
0.243,0,A Abraham,AKR,1,4
0.247,3,N Medchill,TRN,2,9
0.15,3,A Pettersen,NBR,0,4
0.261,15,S Heathcott,TRN,2,22
0.27,1,G Urshela,AKR,2,23
0.28,8,M Johnson,POR,0,2
0.257,10,J Panik,RIC,6,27
0.267,28,T Holt,AKR,3,24
0.267,4,T Gillies,REA,1,8
0.276,8,G Rosa,BOW,1,19
0.375,0,E Nunez,TRN,0,0
0.417,0,N Walker,ALT,0,1
0.284,15,C Moncrief,AKR,6,26
0.253,9,E Suarez,ERI,0,24
0.149,0,S Welch,ALT,0,2
0.319,1,A Rendon,HAR,3,11
0.288,10,A Dickerson,ALT,3,36
0.5,0,W Ramos,HAR,0,1
0.262,0,S Loman,BOW,4,13
0.176,0,T Sanchez,ALT,0,1
0.216,0,E Bigley,NBR,3,9
0.253,0,K Roller,TRN,2,24
0.219,0,J Dalles,REA,0,2
0.16,0,N McCoy,TRN,0,3
0.231,5,Q Latimore,AKR,2,16
0.281,21,A Santos,ALT,4,23
0.0,0,C Manuel,HAR,0,0
0.333,0,C Granderson,TRN,0,0
0.253,0,C Rivero,HAR,2,12
0.225,1,T Naquin,AKR,0,3
0.111,0,R Oduber,HAR,0,0
0.292,0,R Paulino,BOW,0,0
0.32,0,K Higashioka,TRN,0,3
0.19,0,A Lavisky,AKR,0,1
0.263,12,W Tovar,BIN,2,14
0.174,0,S Brown,TRN,1,2
0.138,0,T LaTorre,RIC,0,2
0.296,0,X Carrillo,BIN,2,6
0.218,0,K Ahrens,NH,2,15
0.236,2,M Sano,NBR,3,15
0.255,6,A Hanson,ALT,1,4
0.242,0,L Castillo,ERI,3,17
0.153,0,M Williams,TRN,0,3
0.213,0,B Waring,BOW,3,13
0.261,5,J Parraz,NBR,1,11
0.254,26,A Cartwright,REA,7,16
0.301,24,H Perez,ERI,3,28
0.278,1,R Hughes,BIN,2,11
0.25,0,T Adair,BOW,0,0
0.218,0,J Murphy,NH,1,11
0.0,0,C Schaeffer,NH,0,0
0.242,4,M Abreu,REA,0,4
0.275,0,J Lowery,AKR,1,21
0.244,2,B Boyer,NBR,0,2
0.286,0,B Harper,HAR,0,0
0.264,10,T Henson,REA,2,17
0.222,17,Z Collier,REA,2,14
0.22,3,L Zawadzki,NH,1,1
0.2,0,M Teixeira,TRN,0,0
0.291,6,A Lambo,ALT,3,9
0.258,1,D Ortiz,NBR,4,27
0.253,1,N Hanson,NBR,5,22
0.273,1,J Murphy,REA,8,24
