Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2007-08-02,ARI,SDN,L 0-11 @SDN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
2007-08-04,ARI,LAN,W 8-7 @LAN,4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1st career hit
2007-08-05,ARI,LAN,W 3-0 @LAN,4,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,4,1st career RBI
2007-08-07,ARI,PIT,L 3-8 vs PIT,4,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1st career home run
2007-08-14,ARI,FLO,L 5-14 @FLO,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,11,4 strikeouts
2007-09-11,ARI,SFN,L 1-2 @SFN,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,31,1st career stolen base
2008-05-20,ARI,FLO,L 2-3 @FLO,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,87,4 strikeouts
2008-09-14,ARI,CIN,L 1-2 vs CIN,5,1,4,1,0,1,1,0,0,1,0,0,0,0,0,0,138,4 hits
2009-05-06,ARI,SDN,W 3-1 @SDN,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,176,2 home runs
2009-05-20,ARI,FLO,W 11-9 @FLO,7,3,4,0,0,2,6,1,0,0,2,0,0,0,0,0,188,"2 home runs, 6 RBIs, 4 hits"
2009-06-25,ARI,TEX,L 8-9 vs TEX,4,4,2,1,0,0,0,1,0,2,0,0,0,0,0,0,219,4 runs scored
2009-07-11,ARI,FLO,W 5-1 vs FLO,4,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,234,4 hits
2009-09-16,ARI,SDN,L 5-6 @SDN,5,1,5,1,1,0,1,0,1,0,0,0,0,0,0,0,275,5 hits
2009-09-23,ARI,SFN,L 2-5 vs SFN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,281,4 strikeouts
2009-10-04,ARI,CHN,W 5-2 @CHN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,289,4 strikeouts
2010-04-21,ARI,SLN,L 4-9 vs SLN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,304,4 strikeouts
2010-06-21,ARI,NYA,W 10-4 vs NYA,3,4,3,0,0,2,4,1,0,1,0,1,0,0,0,0,357,"2 home runs, 4 runs scored"
2011-04-28,ARI,CHN,W 11-2 vs CHN,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,446,2 hit by pitches
