From,ASG,2B,Yrs,3B,G,Yrs@School,R
1927,0,0,1,0,1,1925-1927,0
1931,0,152,12,32,962,1930-1931,346
1910,0,0,3,1,5,1909-1910,0
2012,1,73,4,15,342, ,180
1875,0,17,3,7,136, ,50
2008,0,1,1,0,18, ,3
1992,0,1,2,0,22, ,4
1910,0,1,2,0,22,1909,1
1967,0,0,1,0,1,1962,0
1905,0,0,2,0,9,1902-1904,2
1902,0,1,2,2,43,1900-1901,9
1910,0,34,8,11,432,1910,136
2009,0,0,7,0,377, ,0
1871,0,0,2,0,5, ,4
1961,18,646,23,59,3308,1958,1816
1955,0,0,3,0,64,1954,15
1919,0,0,1,0,8,1917-1919,0
1908,0,23,9,10,367,1907-1908,57
1906,0,6,1,3,88,1900-1901,20
2008,1,5,8,0,246, ,8
1940,0,2,5,0,93, ,6
1908,0,0,2,0,33,1899-1900,3
2002,2,1,11,0,603, ,0
1966,0,0,1,0,9,1963-1964,2
2003,0,0,9,0,477, ,1
2001,0,0,1,0,1, ,0
1968,0,0,5,1,211, ,7
1998,0,1,4,1,61, ,0
1953,0,0,1,0,30,1945-1946,1
1884,0,29,4,8,141, ,62
1936,0,0,1,0,3,1934-1936,0
1962,0,0,10,0,276,1958-1959,10
1966,0,0,1,0,8,1961-1963,0
1890,0,19,7,2,167, ,66
1915,0,5,1,1,41,1913-1915,12
1903,0,2,4,2,86,1896-1900,15
1909,0,0,1,0,6,1907-1909,0
1891,0,10,5,0,90, ,36
1910,0,0,1,1,14,1909-1910,6
1934,0,0,1,0,8,1932,0
1909,0,0,2,0,6,1908-1909,1
1905,0,16,13,6,401,1903-1904,52
1906,0,168,11,96,1264,1905-1906,554
1871,0,582,27,142,2524,1867-1868,1999
1916,0,0,1,1,8,1914-1915,2
