Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Heiker Meneses,3 Teams,181,33,56,14,4,0,19,11,2,15,47,0.309,0.385,0.431,0.816
Chih-Hsien Chiang,Por,161,37,54,21,3,9,44,4,0,11,36,0.335,0.397,0.671,1.067
Bryce Brentz,SalGre,208,47,68,14,3,15,50,0,1,23,49,0.327,0.394,0.639,1.033
Jeremy Hazelbaker,PorSal,253,48,65,13,3,7,21,26,8,39,74,0.257,0.365,0.415,0.78
Felix Sanchez,Gre,232,47,65,7,3,0,19,29,6,25,52,0.28,0.366,0.336,0.702
Lucas LeBlanc,GreGCL,143,17,34,6,3,0,15,5,4,4,32,0.238,0.273,0.322,0.595
Williams Jerez,GCL,63,8,12,2,3,0,10,1,2,6,18,0.19,0.257,0.317,0.575
Sean Coyle,Gre,210,43,56,21,2,9,41,9,3,34,64,0.267,0.372,0.514,0.886
Brandon Jacobs,Gre,228,38,72,18,2,7,39,15,4,20,59,0.316,0.373,0.504,0.877
Ynoel Aguero,DSL,113,17,33,5,2,0,12,10,3,23,21,0.292,0.417,0.372,0.789
Christian Vazquez,Gre,198,34,55,9,2,6,45,1,1,21,33,0.278,0.351,0.434,0.785
Kolbrin Vitek,Sal,229,35,69,13,2,2,26,4,1,28,40,0.301,0.382,0.402,0.783
David Renfroe,Gre,190,21,51,12,2,5,24,1,1,14,52,0.268,0.319,0.432,0.75
Shannon Wilkerson,Sal,166,23,43,10,2,4,17,5,2,15,35,0.259,0.323,0.416,0.738
Mitch Dening,Por,140,19,35,7,2,3,18,1,2,16,38,0.25,0.338,0.393,0.73
Deiner Lopez,DSL,112,14,26,4,2,1,14,9,5,20,27,0.232,0.381,0.33,0.712
Jorge Padron,PorSal,226,21,59,9,2,3,26,1,0,22,21,0.261,0.331,0.358,0.689
Boss Moanaroa,Low,107,12,23,4,2,4,17,0,0,9,36,0.215,0.276,0.402,0.678
Jose Garcia,GreLow,198,27,47,8,2,6,30,16,4,14,55,0.237,0.288,0.389,0.677
Jose Colorado,GCL,71,7,15,6,2,0,6,1,3,11,25,0.211,0.317,0.352,0.669
Keury De La Cruz,Low,150,10,38,7,2,2,6,5,6,4,33,0.253,0.277,0.367,0.644
Alex Hassan,Por,226,40,77,17,1,8,34,6,2,33,38,0.341,0.432,0.531,0.963
Miles Head,SalGre,228,46,71,16,1,12,35,3,2,19,49,0.311,0.38,0.548,0.929
Garin Cecchini,Low,57,9,17,6,1,1,9,9,2,11,7,0.298,0.42,0.491,0.912
Hector Luna,Paw,219,35,68,12,1,11,32,4,1,23,36,0.311,0.38,0.525,0.905
