Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 30,at St. Francis (IL),"W, 35-24",8,3,11,-,-,1,-,-,-,-,-,2,-,-
Sep 8,at Lake Erie,"W, 49-21",1,2,3,-,-,0,-,-,-,-,-,-,-,-
Sep 15,Ashland,"L, 47-32",6,2,8,-,-,0,-,-,-,-,-,-,-,-
Sep 22,Walsh,"W, 20-14",6,5,11,-,-,0.5,-,-,-,-,-,-,-,-
Sep 29,at Saginaw Valley State,"L, 31-24",8,2,10,-,-,0,-,-,-,-,-,-,-,-
Oct 6,at Grand Valley State,"W, 40-24",1,3,4,-,-,0,34,-,-,0,1,-,-,-
Oct 13,Hillsdale,"L, 30-20",7,1,8,-,-,1,-,-,-,-,-,-,-,-
Oct 20,Michigan Tech,"W, 56-49",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 27,at Wayne State,"W, 35-24",2,4,6,-,-,0,-,-,-,-,-,1,-,-
Nov 3,Northwood,"L, 38-33",6,5,11,-,-,1,-,-,-,-,-,-,-,-
Nov 10,at Northern Michigan,"W, 32-31",3,1,4,-,-,0,-,-,-,-,-,-,-,-
