ab,2b,sh,bb,hbp,k,avg,r
28,1,0,3,0,7,0.231,2
22,1,1,1,2,5,0.184,1
25,1,0,0,0,8,0.159,1
16,0,0,1,0,11,0.243,0
25,1,0,1,0,10,0.12,1
27,2,0,3,0,3,0.229,6
26,0,0,4,0,7,0.241,7
27,0,2,1,2,5,0.269,1
26,2,2,2,0,10,0.26,3
25,1,2,2,0,9,0.271,4
34,2,0,1,1,5,0.243,5
26,0,1,6,0,2,0.27,4
28,1,1,1,0,5,0.27,0
23,2,1,2,1,5,0.274,4
25,3,1,1,1,5,0.234,5
14,0,0,1,1,9,0.077,0
20,1,1,1,0,2,0.264,2
26,1,2,4,0,4,0.274,5
23,0,1,3,0,7,0.269,3
27,2,0,0,2,7,0.252,4
23,1,1,2,1,7,0.268,0
25,1,1,5,1,7,0.23,3
26,0,0,3,0,14,0.244,0
19,0,0,6,2,7,0.226,4
27,0,1,5,2,6,0.177,1
25,0,2,3,2,3,0.253,8
28,1,0,2,2,4,0.274,3
28,0,1,1,1,4,0.27,5
23,1,2,8,1,3,0.257,8
22,3,4,4,0,2,0.263,10
23,0,2,6,1,11,0.27,3
