TOV%,Rk,ORB%,Date,eFG%,GS,Tm
33.3,9,8.2,1993-11-20,.500,1,ATL
12.5,50,0.0,1994-02-18,.286,1,ATL
20.0,7,0.0,1993-11-17,.000,1,ATL
0.0,51,0.0,1994-02-20,.250,1,ATL
0.0,59,15.1,1994-03-09,.333,1,ATL
18.4,47,18.5,1994-02-10,.750,1,ATL
25.0,49,0.0,1994-02-17,.667,1,ATL
 ,29,0.0,1994-01-08, ,1,ATL
25.0,20,11.4,1993-12-16,.667,1,ATL
0.0,30,4.3,1994-01-12,.600,1,ATL
0.0,37,5.2,1994-01-25,.500,1,ATL
25.0,63,4.0,1994-03-18,.500,1,ATL
0.0,15,5.5,1993-12-03,.000,1,ATL
14.3,24,20.9,1993-12-26,.167,1,ATL
100.0,43,0.0,1994-02-04, ,1,ATL
0.0,2,16.1,1993-11-08,.400,1,ATL
0.0,11,7.7,1993-11-24,.000,1,ATL
0.0,27,31.9,1994-01-04,.667,1,ATL
25.0,73,3.8,1994-04-06,1.000,1,ATL
50.0,75,0.0,1994-04-09,1.000,1,ATL
18.8,5,0.0,1993-11-13,.333,1,ATL
0.0,6,9.1,1993-11-16,.333,1,ATL
0.0,62,5.8,1994-03-16,.333,0,ATL
0.0,13,4.6,1993-11-27,.500,1,ATL
