3P%,PF,SPG,FG%,3PA,3PM,FGA,ORB
0.324,17.4,8.3,0.486,14.1,4.6,62.5,11.4
0.325,17.0,1.0,0.427,20.0,6.5,62.0,8.5
0.296,11.7,17.0,0.464,23.7,7.0,91.3,0.7
0.338,20.2,11.2,0.438,18.5,6.2,64.5,13.2
0.363,17.6,5.9,0.471,23.2,8.4,60.6,8.0
0.382,19.3,8.0,0.474,24.1,9.2,59.2,7.2
0.328,12.8,8.8,0.393,35.2,11.5,99.5,13.0
0.318,21.3,7.3,0.445,17.1,5.5,58.8,9.9
0.365,19.5,9.0,0.476,22.9,8.4,64.6,10.0
0.301,22.5,6.7,0.433,21.5,6.5,63.8,7.5
0.358,22.1,6.4,0.475,19.8,7.1,58.5,7.3
0.362,22.5,7.9,0.445,28.0,10.1,64.3,9.0
0.279,21.2,9.1,0.444,23.6,6.6,76.6,14.3
0.346,19.8,5.9,0.466,19.4,6.7,62.2,9.2
0.349,19.6,9.6,0.442,21.8,7.6,68.4,8.6
0.384,21.1,5.8,0.485,19.1,7.3,59.1,7.2
0.313,18.2,7.4,0.456,21.7,6.8,65.0,9.1
0.33,19.3,6.5,0.458,16.5,5.4,61.5,7.2
0.369,20.8,6.4,0.444,24.0,8.9,63.4,8.7
0.33,17.3,7.1,0.471,19.1,6.3,62.5,8.8
0.301,21.9,6.4,0.404,19.9,6.0,62.1,9.8
0.345,21.7,5.9,0.453,20.0,6.9,61.2,6.9
0.342,20.8,4.7,0.437,27.2,9.3,62.3,6.3
0.377,19.1,8.6,0.492,19.0,7.2,58.4,9.8
0.312,20.8,6.7,0.471,19.0,5.9,61.8,10.1
0.303,21.2,9.0,0.416,19.5,5.9,66.2,12.4
0.315,23.9,5.4,0.426,19.8,6.2,58.6,9.2
0.329,20.5,5.8,0.45,20.6,6.8,62.1,8.5
0.338,21.2,8.3,0.474,22.2,7.5,56.9,6.3
0.33,22.3,9.1,0.473,19.9,6.6,59.3,7.8
0.278,20.1,8.2,0.381,24.0,6.7,63.4,9.6
0.376,20.3,6.6,0.476,26.9,10.1,70.9,10.8
0.333,20.8,5.7,0.45,20.9,7.0,62.4,9.1
0.282,24.8,5.7,0.418,19.2,5.4,79.9,15.4
0.322,18.5,4.4,0.409,24.2,7.8,63.8,7.1
0.388,19.2,7.0,0.505,21.8,8.5,63.6,9.0
0.393,20.1,7.7,0.489,27.2,10.7,63.9,8.4
0.295,22.3,9.0,0.467,22.7,6.7,73.9,9.6
0.334,17.7,5.4,0.457,21.2,7.1,64.9,9.3
0.308,23.9,6.0,0.391,29.0,8.9,78.0,14.4
0.298,19.9,11.2,0.474,22.1,6.6,68.2,11.9
0.332,21.1,9.4,0.427,28.4,9.4,72.5,14.0
0.317,19.7,7.0,0.474,18.0,5.7,66.2,11.3
0.361,17.8,7.0,0.445,20.8,7.5,67.2,9.8
