Date,Opponent,Score,s,k,e,ta,pct,a,sa,se,re,digs,bs,ba,be,tot,bhe,pts
Aug 31,vs. Salve Regina,"W, 3-1",4,0,0,0,-,0,0,0,0,8,0,0,0,0,0,0.0
Sep 1,vs. Johnson & Wales,"W, 3-2",5,0,1,1,-1.000,0,0,0,3,5,0,0,0,0,1,0.0
Sep 1,at Western Conn. St.,"W, 3-1",4,0,0,1,.000,1,0,0,0,1,0,0,0,0,1,0.0
Sep 5,Wellesley,"L, 3-0",3,0,0,0,-,0,0,0,3,3,0,0,0,0,0,0.0
Sep 7,Babson,"W, 3-1",2,0,0,0,-,3,0,0,1,3,0,0,0,0,0,0.0
Sep 7,Tufts,"L, 3-1",4,0,0,0,-,1,0,0,5,5,0,0,0,0,0,0.0
Sep 8,McDaniel,"W, 3-2",5,0,0,2,.000,1,0,0,0,12,0,0,0,0,0,0.0
Sep 8,Rhode Island College,"W, 3-1",4,0,0,0,-,1,0,0,0,1,0,0,0,0,0,0.0
Sep 12,at Endicott,"W, 3-0",3,0,0,2,.000,1,0,0,1,8,0,0,0,0,0,0.0
Sep 15,Emmanuel,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 15,Colby-Sawyer,"W, 3-2",4,0,2,3,-.667,2,0,0,1,5,0,0,0,0,0,0.0
Sep 21,Roger Williams,"L, 3-2",5,0,0,1,.000,1,0,0,1,8,0,0,0,0,0,0.0
Sep 21,Bates,"W, 3-1",4,0,0,0,-,0,0,0,1,10,0,0,0,0,0,0.0
Sep 22,MIT,"L, 3-1",4,0,0,0,-,0,0,0,3,6,0,0,0,0,0,0.0
Sep 22,Mount Ida,"W, 3-1",4,0,0,0,-,0,0,0,1,4,0,0,0,0,0,0.0
Sep 29,vs. Case,"L, 3-0",3,0,0,0,-,1,0,0,2,2,0,0,0,0,0,0.0
Sep 29,vs. Washington U.,"L, 3-0",3,0,0,0,-,0,0,0,2,6,0,0,0,0,0,0.0
Sep 30,vs. Rochester,"L, 3-1",4,0,0,0,-,1,0,0,2,7,0,0,0,0,0,0.0
Oct 4,at Wheaton (Mass.),"W, 3-0",3,0,0,0,-,0,0,0,1,3,0,0,0,0,0,0.0
Oct 10,Emerson,"W, 3-0",3,0,0,0,-,0,0,0,1,8,0,0,0,0,0,0.0
Oct 13,vs. NYU,"W, 3-1",4,0,0,0,-,1,0,0,2,6,0,0,0,0,0,0.0
Oct 13,vs. Chicago,"L, 3-0",3,0,0,1,.000,1,0,0,2,2,0,0,0,0,0,0.0
Oct 14,vs. Emory,"L, 3-0",3,0,0,0,-,0,0,0,0,6,0,0,0,0,0,0.0
Oct 14,at Carnegie Mellon,"L, 3-1",4,0,0,3,.000,0,0,0,0,4,0,0,0,0,0,0.0
Oct 19,vs. Bridgewater St.,"W, 3-0",3,0,0,1,.000,0,0,0,1,5,0,0,0,0,0,0.0
Oct 20,vs. Middlebury,"L, 3-0",3,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0.0
Oct 20,at Smith,"W, 3-2",5,0,0,2,.000,3,0,0,3,4,0,0,0,0,0,0.0
Oct 26,Lasell,"W, 3-0",3,0,0,0,-,1,0,0,1,6,0,0,0,0,0,0.0
Oct 27,Keene St.,"W, 3-1",4,0,0,0,-,1,0,0,2,6,0,0,0,0,0,0.0
Oct 27,Westfield St.,"W, 3-0",2,0,0,0,-,0,0,0,1,1,0,0,0,0,0,0.0
Nov 2,vs. Chicago,"L, 3-0",3,1,0,3,.333,0,0,0,2,12,0,0,0,0,0,1.0
Nov 2,vs. Rochester,"L, 3-0",3,0,0,1,.000,1,0,0,3,4,0,0,0,0,0,0.0
Nov 9,Albertus Magnus,"W, 3-0",3,0,0,1,.000,2,0,0,0,5,0,0,0,0,0,0.0
Nov 10,Salve Regina,"W, 3-0",3,0,0,0,-,1,0,0,0,7,0,0,0,0,0,0.0
Nov 10,Western New Eng.,"L, 3-1",4,0,0,0,-,0,0,0,2,11,0,0,0,0,0,0.0
