Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Justin Masterson,BOS,5,4,0,0,0,1,1,1,0,0,0.8,0.833,0.8,1.633
Gavin Floyd,CLE,3,2,0,0,0,0,1,0,0,0,0.667,0.75,0.667,1.417
Jeanmar Gomez,PHI,3,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Phil Humber, ,3,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
Jason Vargas,KC,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Carlos Carrasco,CLE,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Roberto Hernandez,HOU,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Ubaldo Jimenez,BAL,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Felipe Paulino,CHI-N,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Chris Perez,BAL,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Max Scherzer,WAS,3,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Zach Stewart, ,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
A.J. Burnett,PIT,2,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
Luke Hochevar,KC,2,1,0,0,0,0,0,0,0,0,0.5,0.667,0.5,1.167
Jake Peavy,SF,2,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
Rafael Perez, ,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Michael Pineda,NY-A,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Tony Sipp,HOU,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Mitch Talbot, ,2,1,1,0,0,0,1,0,0,0,0.5,0.667,1.0,1.667
Tom Wilhelmsen,SEA,2,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0
Dave Bush, ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bruce Chen, ,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Cesar Jimenez,PHI,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Colby Lewis,TEX,1,1,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0
Sergio Santos,NY-A,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Cory Wade, ,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Joaquin Benoit,SD,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Aaron Crow,MIA,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Brandon League, ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mark Lowe,TOR,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Joe Smith,ANA,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rafael Soriano,CHI-N,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Yoshinori Tateyama, ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Louis Coleman,KC,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0
Will Ohman, ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
