Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1977-04-09,PHI,MON,L 3-4 vs MON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1977-04-11,PHI,CHN,L 2-6 vs CHN,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1st career hit
1977-04-15,PHI,MON,W 7-2 @MON,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1st career RBI
1979-04-22,SLN,CIN,W 4-3 vs CIN,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,87,1st career stolen base
1979-05-08,SLN,HOU,W 4-1 @HOU,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,96,1st career home run
1980-04-18,SLN,PIT,L 10-12 @PIT,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,159,2 home runs
1980-05-07,SLN,SFN,W 12-2 vs SFN,5,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,168,4 hits
1980-05-31,SLN,MON,W 8-6 vs MON,4,2,4,2,0,0,2,0,0,0,0,0,0,0,0,0,183,4 hits
1980-08-11,SLN,MON,W 16-0 vs MON,5,3,4,3,1,0,2,0,0,0,0,0,0,0,0,0,224,"3 Doubles, 4 hits"
1980-08-27,SLN,HOU,W 10-2 vs HOU,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,236,4 hits
1980-08-28,SLN,ATL,W 11-2 vs ATL,5,1,3,2,0,0,7,0,0,0,1,0,0,0,0,0,237,7 RBIs
1980-09-02,SLN,CIN,W 12-4 vs CIN,3,2,2,1,0,0,2,1,0,0,0,0,0,0,2,0,242,2 sacrifice flies
1982-04-24,SLN,PHI,W 7-4 @PHI,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,350,4 hits
1984-04-14,SLN,PIT,W 7-5 vs PIT,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,500th career game
1984-07-21,KCA,BAL,L 3-4 vs BAL,2,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,549,2 sacrifice flies
1985-07-19,KCA,BAL,W 10-3 @BAL,5,1,2,0,0,0,5,0,0,0,1,0,0,0,0,0,623,5 RBIs
